title,date,content
¡El AC Milan puede encontrar acomodo para Luka Jovic en España!,29/09,"Muy a su pesar, Luka Jovic se está viendo condenado al ostracismo en el AC Milan en los compases iniciales de esta temporada. De esta forma, irrumpe en escena una interesante vía de escape en la Liga para el atacante de cara al próximo mercado de invierno. "
Chelsea | Enzo Maresca sitúa a una pieza en el escaparate,29/09, 
"Castello Lukeba, ¿un refuerzo prioritario para el Real Madrid?",29/09,"Las altas esferas del Real Madrid están diseñando su línea de actuación en el mercado de fichajes. Por tanto, sigue atento a las actuaciones que está realizando Castello Lukeba en el RB Leipzig. Un central que encajaría a las mil maravillas en el esquema de Carlo Ancelotti. "
Premier | El Tottenham agrava la crisis del Manchester United,29/09, 
"Liverpool y Manchester United pugnan por el ""nuevo Ángel Di María""",29/09,"Es un secreto a voces que la Premier League está acaparando buena parte de los movimientos en las últimas sesiones del mercado. En esta ocasión, Liverpool y Manchester United estarían tras los pasos de un joven futbolista que guarda ciertas similitudes con Ángel Di María. "
Nico Paz no se olvida del Real Madrid,29/09, 
Se complica la vía de Juanlu Sánchez para el Real Madrid,29/09,"Consciente de la importancia de localizar al heredero ideal de Dani Carvajal, el Real Madrid sigue estudiando opciones en el mercado. Juanlu Sánchez está compitiendo muy bien en el Sevilla, por lo que la Premier League también contempla lanzar sus redes sobre el lateral. "
El FC Barcelona ultima la llegada de Wojciech Szczesny,29/09, 
Frenkie de Jong se pone muy serio en el FC Barcelona,29/09,"Atizado en más de una ocasión por diferentes motivos, Frenkie de Jong ha dado un paso al frente tomando la palabra para desvelar los detalles de su situación en el FC Barcelona. Un centrocampista que ultima su puesta a punto para ponerse a la entera disposición de Hansi Flick. "
¿Un acuerdo decisivo entre las grandes Ligas europeas?,29/09, 
El Bayern Múnich empieza a tener una preocupación de 50 M€ ,29/09,Apenas acaba de comenzar la temporada y obviamente llegan los primeros análisis de lo visto en algunos encuentros y sobre el terreno de juego. Los fichajes del pasado mercado estival empiezan a ser escrutados de esta manera de manera bastante minuciosa. 
El gran debe de la Real Sociedad ,29/09, 
Giro radical en la situación del cotizado Xavi Simons ,29/09,"La temporada ya ha superado su primer mes y obviamente es momento para que muchos analistas se cuestionen sobre el rendimiento de varios jugadores importantes. Uno de ellos está siendo Xavi Simons, hace meses uno de los jugadores más cotizados del continente. "
La otra gran preocupación del Sevilla,29/09, 
El colosal desafío de Lucas Vázquez ,29/09,"Renovado por una temporada el pasado verano, Lucas Vázquez continúa siendo pieza importante del Real Madrid. Igual que en años anteriores, esperará su oportunidad con las rotaciones para intentar ganarse de nuevo ese rol en el equipo merengue. "
El Getafe añora a Borja Mayoral ,29/09, 
El siguiente paso que espera a Rodrigo Riquelme ,29/09,"En el Atlético de Madrid vivirán esta noche una nueva edición especial del derbi ante el Real Madrid, con el propósito de intentar no descolgarse demasiado en Liga y dar una alegría más a sus aficionados. "
Youssoufa Moukoko cambia su destino,29/09, 
Un prometedor atacante hace las delicias del Bayer Leverkusen,29/09,"Después de una temporada espectacular, el Bayer Leverkusen quiere consolidar los cimientos de su proyecto ganador. Mientras tanto, la escuadra comandada por Xabi Alonso está estrechando el cerco sobre un futbolista al que podría reclutar como agente libre. "
Un inicio de vértigo para Julen Lopetegui ,29/09, 
Harry Kane sigue sin encontrar su límite,29/09,"Tras una temporada pasada decepcionante en lo colectivo pero brillante en lo individual, Harry Kane quiere sacarse muchas espinas acumuladas en su carrera deportiva. Ahora vive un momento de forma sensacional. "
Jagoba Arrasate ya marca la pauta en el Real Mallorca,29/09, 
Victor Boniface escala posiciones en los planes del Chelsea,29/09,"A la caza y captura de más efectivos para su proyecto, el Chelsea está pendiente de diferentes opciones para apuntalar su parcela ofensiva. Es por ello que insiste con Victor Boniface, atacante que está exhibiendo un rendimiento idóneo en el Bayer Leverkusen. "
Álex Baena suma y sigue con el Villarreal,29/09, 
El siguiente reto para Hansi Flick en el FC Barcelona ,29/09,"Siguen pasando los partidos en esta campaña y lógicamente aumentan algunas expectativas en el FC Barcelona. A la espera ahora de que retorne la Liga de Campeones el martes, los culés quieren seguir mejorando lo que hemos ido viendo hasta ahora. "
AC Milan | El rendimiento estelar de Christian Pulisic,29/09, 
Atlético - Real Madrid | Un apasionante derbi de más de 1800 M€,29/09,Ya tenemos una nueva edición del derbi madrileño. Partido que resultará clave para La Liga porque en él se miden dos de los grandes del fútbol español. El Atlético de Madrid recibe al Real Madrid en un duelo de muchos quilates y con alguna ausencia importante. 
Atlético de Madrid | El emotivo consejo que recibió Antoine Griezmann,28/09, 
El zarpazo que el Real Madrid desea asestar al Bayern Múnich,28/09,"El Real Madrid continúa trabajando en la confección de su plantilla. De cara al periodo veraniego de traspasos de 2025, el 15 veces ganador de la Liga de Campeones pretende reforzarse a costa de un rival directo en Europa: el Bayern Múnich. "
"FC Barcelona | Hansi Flick: ""Creo que es mi responsabilidad""",28/09, 
Liga | Un ciclón llamado Osasuna pasa por encima del FC Barcelona,28/09,"Primera derrota liguera de la temporada del FC Barcelona, todo ello en una contienda en la que Hansi Flick ha tirado de rotaciones en su disposición táctica. Por su parte, Osasuna ha completado una actuación fantástica, liderada por la pareja de baile de Ante Budimir y Bryan Zaragoza. Y es un toque de atención para los culés. "
Yusuf Yazici encuentra destino en Grecia,28/09, 
Riccardo Calafiori recuerda su desembarco en el Arsenal,28/09, 
"Cole Palmer, la piedra angular del proyecto del Chelsea",28/09,"Cole Palmer se ha convertido con creces en una de las estrellas de la Premier League desde la pasada campaña. Sin duda, su contribución dispara en demasía la ilusión y las aspiraciones de un Chelsea que están fascinados con el nivel mostrado por su atacante. "
Luis de la Fuente analiza el impacto de la lesión de Rodri,28/09, 
"Jeremie Frimpong, ¿una alternativa para el Real Madrid?",28/09,"El Real Madrid prioriza la incorporación de un nuevo inquilino para el flanco derecho de la retaguardia. Ante la dificultad de convencer a Trent Alexander-Arnold, despunta de nuevo la vía de un Jeremie Frimpong que es primordial para el Bayer Leverkusen. "
Premier | Mohamed Salah ilumina al Liverpool de Arne Slot,28/09, 
Una propuesta que no convenció a Mateu Alemany,28/09,"Desde su salida del FC Barcelona, Mateu Alemany vive un periodo sabático a la espera de recibir una oferta que le resulte convincente. Sin ir más lejos, hay una escuadra de Primera División que se ha posicionado por un profesional que siempre es decisivo en la dirección deportiva. "
Bundesliga | Bayern Múnich y Bayer Leverkusen se neutralizan,28/09, 
Serie A | La Juventus de Turín vence al ritmo de Dusan Vlahovic,28/09, 
La declaración de intenciones de Amad Diallo en el Manchester United,28/09, 
La negociación que se cuece a fuego lento en el Liverpool,28/09,"Se avecinan movimientos en el seno de un Liverpool que tiene varias patatas calientes en relación con la confección de su proyecto. En esta ocasión, el protagonismo gira en torno a la figura del que ha sido el mariscal de su entramado defensivo desde su aterrizaje en Anfield. "
El Wolverhampton tiene un deseo de 45 M€,28/09, 
FC Barcelona | Dos clubes pincharon en hueso por Raphinha,28/09,"Después de estar en la rampa de salida por la delicada coyuntura financiera del FC Barcelona, Raphinha ha dado la vuelta a la tortilla para ser intocable en la Ciudad Condal. Es más, el futbolista declinó dos propuestas para cambiar de aires durante el pasado mercado estival. "
Premier | Un inspirado Leandro Trossard impulsa al Arsenal,28/09, 
Se dispara la competencia en la Premier por Marc Guéhi,28/09,"Hace ya bastantes semanas que está en el radar del Liverpool, donde aparece como primera opción defensiva pensando en 2025. Un zaguero al que no dejan de salirle admiradores de primer nivel como ahora nos relatan desde Inglaterra. "
El AC Milan ya avanza por una prioridad invernal,28/09,"En el AC Milan continúan poco a poco acumulando rumores potenciales para el mercado de invierno, donde esperan algunos movimientos que pueden acabar de definir la plantilla rossonera, y reforzar puestos donde se necesitan cambios. "
Serie A | Lautaro Martínez vuelve a ser decisivo con el Inter,28/09, 
La AS Roma prepara un fichaje estratégico,28/09, 
El Real Madrid pone a un objetivo de 2025 en cuarentena,28/09,Hacía unas cuantas semanas ya que este jugador era relacionado con el Real Madrid para 2025. No era un objetivo quizás tan claro como otros pero ahora la situación ha variado de tal manera que los merengues estarán esperando acontecimientos. 
Premier | El Manchester City ya acusa la ausencia de Rodri,28/09, 
El FC Barcelona ya tiene competencia por el colombiano Jhon Durán,28/09,Es uno de los atacantes de moda en la Premier League y por calidad y proyección parece destinado a realizar grandes empresas en Europa. Jhon Durán era relacionado hace pocos días con el FC Barcelona. 
El Arsenal toma medidas con Takehiro Tomiyasu,28/09, 
¡Nico Williams lidera una lista de 4 nombres para suceder a Mohamed Salah!,28/09,"Los reds buscan un atacante diferencial para la siguiente temporada, en vista de lo que pueda suceder con Mohamed Salah. Nico Williams es el cabeza de cartel de una lista de cuatro delanteros de primer nivel que barajan en Anfield. "
La siguiente renovación que prepara la Juventus,28/09, 
La Juventus toma una decisión controvertida con Paul Pogba,28/09,"Un año después de dar positivo por testosterona, Paul Pogba sigue cumpliendo su castigo. Una situación incómoda que en la Juventus de Turín puede ahora propiciar una decisión drástica que sin duda generará polémica. "
Alejan a Sergio Ramos de Brasil,28/09, 
¡Dudas con Frenkie De Jong! El FC Barcelona prepara una medida drástica,28/09,"Mientras se espera su regreso para dentro de unos días, Frenkie De Jong es noticia otra vez. El FC Barcelona puede tomar medidas drásticas y el jugador romperá su silencio mañana mismo en los medios oficiales del club. "
Diego Simeone desvela lo que espera del Real Madrid,28/09, 
Carlo Ancelotti confirma el regreso de Camavinga,28/09, 
El PSG ya ha encontrado al heredero de Kylian Mbappé,28/09,La temporada sigue en marcha en un PSG que por un lado mantiene abierto ese litigio con Kylian Mbappé por lo que adeuda de su salario. Pero que por otra parte ya ha empezado a olvidar a su estrella francesa al haber encontrado a su heredero. 
El Manchester United arrebata una joya al Arsenal,28/09, 
Pep Guardiola escoge en Italia al recambio de Rodri,28/09,En el Manchester City ya han activado su búsqueda de nuevo centrocampista para suplir en este caso la importante baja de Rodri Hernández. Los citizens han decidido ahora poner el foco en un neuvo mediocentro. 
Sanción de la FIFA para el Dibu Martínez,28/09, 
"Jamal Musiala da esperanzas al Real Madrid: ""Estoy abierto a todo""",28/09,"Sigue Jamal Musiala generando todo tipo de informaciones a su alrededor. Algo propio sin duda de un futbolista diferencial que empieza a marcar la pauta en el Bayern Múnich, donde es ahora mismo figura, emblema y gran preocupación para sus dirigentes. "
FC Barcelona | Joan Laporta confirma el plan para la portería,28/09, 
"Tensión máxima entre Guardiola y Arteta, el FC Barcelona acecha un récord",28/09,"El último fin de semana de septiembre viene de nuevo cargado de actualidad. Los encuentros de los campeonatos domésticos ocupan gran parte de la misma, aunque en Inglaterra viene marcada por una agria polémica entre los entrenadores españoles de Manchester City y Arsenal. "
¡Thiago Alcántara volverá al FC Barcelona!,28/09, 
La arriesgada decisión que atormenta al Atlético de Madrid,28/09,En el Atlético de Madrid han logrado mejorar notablemente su potencial defensivo esta temporada y siguen a la espera de que sus grandes inversiones en ataque puedan dar fruto. Pero también crece la idea de que se puede haber cometido un error histórico. 
El importante anuncio de Theo Hernández,28/09, 
Hansi Flick ya espera dos nuevos refuerzos para el FC Barcelona,28/09,Busca el FC Barcelona nueva victoria esta noche ante Osasuna para alargar su gran inicio de Liga. Los catalanes quieren seguir sumando a la espera de recuperar poco a poco más efectivos conforme pasa la temporada. 
David Silva destripa la situación del Valencia,28/09, 
¡Ojo Real Madrid! El fichaje de Franco Mastantuono corre peligro,28/09,Hace ya meses que el joven argentino de River Plate es señalado como uno de los objetivos interesantes del Real Madrid para 2025. Si bien la carrera por su fichajeno está exenta de todo tipo de complicaciones que amenazan con alejar el fichaje. 
Ponen precio a la siguiente puja por Victor Osimhen: 80 M€,27/09,Su desembarco como cedido en el Galatasaray solamente ha servido para dilatar un poco más los rumores en el tiempo. Y obviamente para que el delantero nigeriano tenga minutos en un equipo de renombre donde seguirá haciendo méritos seguramente para un traspaso mayor. 
Marc Cucurella enamora a Enzo Maresca,27/09, 
Serie A | Álvaro Morata encabeza el renacimiento del AC Milan,27/09, 
Dos campeones de Europa batallan por Jeremie Frimpong ,27/09,Sus actuaciones con el Bayer Leverkusen lo han convertido en uno de los laterales diestros más cotizados del planeta fútbol. Jeremie Frimpong cuenta ya con dos admiradores de primer nivel en la Premier League. 
Lo que piensa el Bayern Múnich de Florian Wirtz,27/09, 
"El AC Milan entra en la pelea por el ""nuevo Gareth Bale""",27/09,"Vinculado recientemente con el Chelsea y valorado en unos 25 M€, Patrick Dorgu capta ahora el interés de otro de los grandes de Europa como es el conjunto de San Siro, que se ha interesado bastante en este nuevo talento. "
Antonio Conte condiciona un futuro refuerzo del Real Madrid,27/09, 
Carlo Ancelotti medita: Así puede suplir el Real Madrid a Kylian Mbappé,27/09,"Arranca el fin de semana que culminará con nueva edición de un derbi madrileño, donde el Real Madridi visita al Atlético de Madrid con un ambiente bastante caldeado en la previa. Y donde la ausencia de Kylian Mbappé es la nota más destacada. "
El delantero que se le esapó al Sevilla,27/09, 
Atlético de Madrid | Diego Simeone cierra su primer objetivo,27/09,"Antes del derbi que puede marcar La Liga, el Atlético de Madrid llega de momento reforzado tras la victoria en Balaídos. Los colchoneros no han logrado un juego brillante pero su entrenador paerce haber dado con la fórmula que esperaba. "
Jorge Sampaoli va a encontrar nuevo club,27/09, 
¡Lío a la vista en el FC Barcelona con Ronald Araujo!,27/09,"Mientras el FC Barcelona sigue por ahora tratando de alargar su inmaculado arranque de temporada mañana en Pamplona, presentan algunas curvas en el horizonte que deberán ser resueltas. La situación del central uruguayo preocupa. "
¡Kylian Mbappéy el PSG se verán las caras!,27/09, 
El Real Madrid recibe una seria advertencia por Jamal Musiala,27/09,"En el Bayern Múnich están hace tiempo en guardia no solamente por Alphonso Davies sino también por Jamal Musiala, su joven estrella emergente. Un jugador que es seguido atentamente por el Real Madrid y otros grandes conjuntos del viejo continente. "
El chocante anuncio de Mikel Arteta sobre Mikel Merino,27/09, 
El Liverpool se despide de la nueva estrella del fútbol inglés,27/09,Era desde hace semanas uno de los grande deseos del Liverpool para seguir construyendo su futuro. A los reds se les escapa ahora pese a haber apostado muy fuerte desde el pasado verano para el fichaje de este jugador. 
Cuando Julián Álvarez jugó para el Real Madrid,27/09, 
Un nuevo dilema en el horizonte del FC Barcelona,27/09,"Ha comenzado bien la temporada el FC Barcelona, donde solamente el borrón de la derrota en Mónaco y las lesiones empañan un momento bueno. Hansi Flick va convenciendo a todos pero tiene en el horizonte un complicado problema que deberá resolver. "
García Pimienta explica su sorprendente renovación,27/09, 
