description,date,sentiment
Raphinha could 'steal' the number from Ferran Torres  FC Barcelona Noticias,"(8, 8, 2023)",NEGATIVE
"Barcelona 4-2 Tottenham (Aug 8, 2023) Game Analysis  ESPN","(8, 8, 2023)",POSITIVE
Barcelona vs Tottenham Player Ratings from the Joan Gamper Trophy  Everything Barca,"(8, 8, 2023)",NEGATIVE
FC Barcelona Vs. AC Milan: Xavi Will Enforce Huge Lineup Overhaul In Last U.S. Tour Friendly  Forbes,"(1, 8, 2023)",POSITIVE
A Premier League team is interested in Ferran  MUNDO DEPORTIVO,"(2, 8, 2023)",POSITIVE
"Barcelona winger asks for No. 11 shirt, 23-year-old star could take Dembele’s No. 7  Barca Universal","(8, 8, 2023)",NEGATIVE
"Barcelona vs Tottenham LIVE! Joan Gamper Trophy result, match stream, latest reaction and updates today  Yahoo Singapore News","(8, 8, 2023)",POSITIVE
Barcelona vs Tottenham result as Lamine Yamal stars to win Joan Gamper Trophy match over Spurs  Sporting News,"(8, 8, 2023)",POSITIVE
"Barcelona 4-2 Tottenham (8 Aug, 2023) Final Score  ESPN.co.uk","(8, 8, 2023)",POSITIVE
Multiple squad number changes to occur at Barcelona once Ousmane Dembele departs  Football Espana,"(8, 8, 2023)",NEGATIVE
Barcelona vs AC Milan Player Ratings  Everything Barca,"(2, 8, 2023)",NEGATIVE
"Lamine Yamal, stellar! He dressed as a 'hero' to lead Barça against the 'Spurs'  FC Barcelona Noticias","(8, 8, 2023)",POSITIVE
Spain Barcelona defeat Tottenham to lift Joan Gamper Trophy  Africa Top Sports,"(8, 8, 2023)",POSITIVE
"Barcelona 4–2 Tottenham Hotspur, Joan Gamper Trophy 2023: Late Strikes Help Catalan Giants Secure Victory  LatestLY","(8, 8, 2023)",POSITIVE
Man City vs Arsenal Head-To-Head: Last season’s top two face off at Wembley  Pundit Feed,"(5, 8, 2023)",NEGATIVE
Ferran Torres tops preseason scoring  FC Barcelona,"(9, 8, 2023)",POSITIVE
Ferran Torres inherits Dembélés No.7 shirt  AS USA,"(9, 8, 2023)",POSITIVE
Message about your future? Ferran Torres was the only attacker who did not 'debut' with Barça  FC Barcelona Noticias,"(14, 8, 2023)",NEGATIVE
Barcelona kick off the new season against Getafe  Playing for 90,"(12, 8, 2023)",POSITIVE
Barcelona not happy with offer from Premier League side for Ferran Torres - Reports  Sportskeeda,"(14, 8, 2023)",NEGATIVE
FC Barcelona Have A New Number 7 And 11 For Next Season  Forbes,"(9, 8, 2023)",POSITIVE
"Ferran Torres, unexpected scorer: Pichichi of the 2023-2024 preseason!  FC Barcelona Noticias","(9, 8, 2023)",POSITIVE
Ferran Torres and Raphinha change squad numbers at Barcelona following Ousmane Dembélé departure  Barca Blaugranes,"(9, 8, 2023)",POSITIVE
Barcelona to have forward available for Getafe clash as suspension is not enforced by LaLiga  Football Espana,"(13, 8, 2023)",NEGATIVE
Two jersey number changes and another returning to his former shirt  FC Barcelona,"(11, 8, 2023)",NEGATIVE
"Barcelona winger asks for No. 11 shirt, 23-year-old star could take Dembele’s No. 7  Barca Universal","(8, 8, 2023)",NEGATIVE
The challenges of Ferran Torres and Ansu Fati for the 2023/2024 season  FC Barcelona Noticias,"(10, 8, 2023)",POSITIVE
Barcelona prefer La Masia gem to start ahead of Ferran and Ansu Fati – report  Barca Universal,"(15, 8, 2023)",POSITIVE
Raphinha could 'steal' the number from Ferran Torres  FC Barcelona Noticias,"(8, 8, 2023)",NEGATIVE
Barcelona trio in training today despite Xavi giving the day off – report  Barca Universal,"(15, 8, 2023)",POSITIVE
Pedri and Torres score late goals to give Barca 2-0 win over Cadiz  Reuters,"(20, 8, 2023)",POSITIVE
FC Barcelona Vs. Cadiz Result: Pedri Prevents Breaking Of Unwanted 50-Year Record (VIDEO)  Forbes,"(20, 8, 2023)",NEGATIVE
Barcelona 2-0 Cadiz - Pedri and Ferran Torres score late as Catalans edge past plucky opponents in scrappy home opener  Eurosport COM,"(20, 8, 2023)",POSITIVE
In 'killer' mode! Ferran Torres vindicates himself in his 'premiere' with Barça  FC Barcelona Noticias,"(20, 8, 2023)",POSITIVE
FC Barcelona 2-0 Cádiz: Winning start to a new era  FC Barcelona,"(20, 8, 2023)",POSITIVE
"Barcelona 2-0 Cádiz (Aug 20, 2023) Final Score  ESPN","(20, 8, 2023)",POSITIVE
Explained: Ferran Torres’ ‘silence’ gesture after his goal against Cadiz  Barca Universal,"(21, 8, 2023)",NEGATIVE
