description,date,sentiment
Villarreal dent champions Real Madrid's title hopes  theSun,"(1, 8, 2023)",POSITIVE
‘Carried the team’ - Blackburn Rovers expert tells Villarreal what to expect from Ben Brereton-Diaz  Villarreal USA,"(7, 8, 2023)",POSITIVE
Defeat in the Sela Cup  Web Oficial del Villarreal CF,"(6, 8, 2023)",NEGATIVE
Josko Gvardiol’s career in pictures  Manchester City FC,"(5, 8, 2023)",POSITIVE
Barcelona fume at ‘disgrace’ after 116 minutes of pure Bordalásball  The Guardian,"(14, 8, 2023)",NEGATIVE
Villarreal’s Starting XI Pau Torres and Nicolas Jackson leave. Who Starts?  Villarreal USA,"(11, 8, 2023)",NEGATIVE
Gerard Moreno hands Villarreal first win of the season after strong display against Mallorca  Villarreal USA,"(18, 8, 2023)",POSITIVE
Gerard Moreno becomes Villarreal’s all-time record scorer with winning goal against Mallorca  Football Espana,"(19, 8, 2023)",POSITIVE
Match Report: RCD Mallorca 0-1 Villarreal CF  RCD Mallorca,"(18, 8, 2023)",NEGATIVE
La Liga Round Up: Friday night wins for Villarreal and Valencia  Football Espana,"(18, 8, 2023)",POSITIVE
La Liga: Bellingham on target again for Real; Athletic Club also win (Round-up)  Morung Express,"(20, 8, 2023)",POSITIVE
Harry Kane dazzles in Bundesliga debut as Bayern Munich hammer Werder Bremen  SportsTak,"(18, 8, 2023)",POSITIVE
Jaume Costa and José Copete analyse the 1-0 defeat to Villarreal CF  RCD Mallorca,"(18, 8, 2023)",NEGATIVE
"Villarreal vs Barcelona, summary: Yamal, score, goals & highlights | LaLiga EA Sports 2023/24  AS USA","(27, 8, 2023)",POSITIVE
FC Barcelona vs Villareal CF - Full Match Preview and Predictions  Everything Barca,"(24, 8, 2023)",POSITIVE
Villarreal 3-4 Barcelona: Goals and highlights - LaLiga 23/24  Marca English,"(27, 8, 2023)",POSITIVE
Barcelona must raise game in Villarreal clash  Prothom Alo English,"(25, 8, 2023)",POSITIVE
"Preview: Villarreal vs. Barcelona - prediction, team news, lineups  Sports Mole","(25, 8, 2023)",NEGATIVE
The brilliance of Lamine Yamal: 16-year-old is already deciding matches for FC Barcelona  Morung Express,"(29, 8, 2023)",POSITIVE
Teen Yamal shines as Barca edge seven-goal thriller at Villarreal| Gulf Times  Gulf Times,"(27, 8, 2023)",POSITIVE
Barca edge out Villarreal in a thriller  The Express Tribune,"(28, 8, 2023)",POSITIVE
Lamine Yamal: The teenage sensation who stole the show in FC Barcelona's thrilling victory  The Times of India,"(30, 8, 2023)",POSITIVE
The brilliance of Lamine Yamal: 16-year-old is already deciding matches for FC Barcelona  Morung Express,"(29, 8, 2023)",POSITIVE
Rival watch: Villarreal main man expected to miss the Barcelona encounter on Sunday  Barca Universal,"(2, 9, 2023)",NEGATIVE
Lamine Yamal proving to be difference maker in Xavi's Barcelona  Khel Now,"(2, 9, 2023)",POSITIVE
History: Villarreal 0-0 Maccabi Haifa | UEFA Europa League 2023/24  UEFA.com,"(5, 9, 2023)",POSITIVE
EA Sports FC 24 Best Spain ratings predictions - top Spanish players to sign in Career Mode  Video Gamer,"(7, 9, 2023)",POSITIVE
Villarreal victorious against a resolute Almería side in Pacheta’s debut  Villarreal USA,"(17, 9, 2023)",POSITIVE
Real Madrid fight back to defeat Real Sociedad in La Liga  Xinhua,"(18, 9, 2023)",NEGATIVE
"Villarreal 2-1 Almería (17 Sep, 2023) Final Score  ESPN.co.uk","(17, 9, 2023)",POSITIVE
Villarreal make disappointing start to Europa League after falling to defeat against Panathinaikos  Football Espana,"(21, 9, 2023)",NEGATIVE
(Video): “Riding the bench hard at Villareal” – Nico Jackson doesn’t have the “quality” to be Chelsea striker says ESPN pundit  Chelsea News,"(18, 9, 2023)",NEGATIVE
2-1: UD Almería suffer late defeat to Villarreal CF | UD Almeria | Web Oficial  UD Almeria | Web Oficial,"(17, 9, 2023)",NEGATIVE
Sergio Ramos makes another debut for Sevilla in a 1-0 win over Las Palmas  Sportstar,"(18, 9, 2023)",POSITIVE
"Preview: Rayo Vallecano vs. Villarreal - prediction, team news, lineups  Sports Mole","(22, 9, 2023)",NEGATIVE
"Preview: Panathinaikos vs. Villarreal - prediction, team news, lineups  Sports Mole","(19, 9, 2023)",NEGATIVE
Villarreal vs Girona - La Liga matchday thread  Villarreal USA,"(27, 9, 2023)",POSITIVE
"Preview: Rayo Vallecano vs. Villarreal - prediction, team news, lineups  Sports Mole","(22, 9, 2023)",NEGATIVE
eFootball 2024: Top 10 Best Second Strikers (SS) to have in your squad  GamingonPhone,"(23, 9, 2023)",POSITIVE
