description,date,sentiment
"Koke, Antoine Griezmann and Atlético de Madrid Players Visit #49ersCamp  49ers.com","(4, 8, 2023)",POSITIVE
"‘I feel free, my legs feel good, everything is in order and ready to play my best soccer’  MUNDO DEPORTIVO","(1, 8, 2023)",POSITIVE
Barcelona's worst transfer signings of all time: From Zlatan Ibrahimovic to Ousmane Dembele  Goal.com,"(1, 8, 2023)",NEGATIVE
Diego Simeone has surprising view on Mbappé to Real Madrid  AS USA,"(1, 8, 2023)",POSITIVE
Antonela Roccuzzo confirms meaning behind Lionel Messi's latest goal celebration  bolavip.com,"(4, 8, 2023)",POSITIVE
Off the Field: LaLiga Teams Check Into 49ers Training Camp ⚽️  49ers.com,"(8, 8, 2023)",NEGATIVE
German man arrested in France after wife allegedly held captive for 12 years  BBC.com,"(7, 8, 2023)",NEGATIVE
La Liga giants to play doubleheader at San Francisco Giants' Oracle Park - less than 48 hours after MLB  Daily Mail,"(5, 8, 2023)",NEGATIVE
Coupang Play Series ends with a lot of drama but a little less heart  The Korea JoongAng Daily,"(4, 8, 2023)",NEGATIVE
Chloe Kelly reacts after scoring winning penalty vs Nigeria: ‘This team is special’  The Independent,"(7, 8, 2023)",POSITIVE
5 times Lionel Messi gave away his penalty to teammates  Sportskeeda,"(3, 8, 2023)",POSITIVE
"Sevilla FC vs. Atletico Madrid LIVE: Final score, play-by-play and highlights  Marca.com","(6, 8, 2023)",POSITIVE
He Wont Lose His Destiny: Rakesh Roshan On What If Hrithik Goes Bald Like Him  Free Press Journal,"(7, 8, 2023)",NEGATIVE
England star Lucy Bronze brutally snubs referee handshake after angry World Cup outburst  Express,"(1, 8, 2023)",NEGATIVE
Brentford expected to decline Arsenal's initial bid for David Raya  MUNDO DEPORTIVO,"(4, 8, 2023)",NEGATIVE
Morning Report: Antoine Griezmann Hangs Out at #49ersCamp  49ers.com,"(9, 8, 2023)",NEGATIVE
"Griezmann, Fekir and Vini Jr. are favorites for LaLiga's Decisive Player of the Year award  Marca.com","(11, 8, 2023)",POSITIVE
Antoine Griezmann goes back to lucky hairstyle for La Liga debut  Football Espana,"(14, 8, 2023)",POSITIVE
"The LALIGA EA SPORTS stars to watch in 2023/24: Griezmann, Vinícius, Lewandowski and others  CNBCTV18","(9, 8, 2023)",POSITIVE
Why don't FC Barcelona play at Camp Nou?  Bolavip US,"(14, 8, 2023)",NEGATIVE
Off the Field: LaLiga Teams Check Into 49ers Training Camp ⚽️  49ers.com,"(8, 8, 2023)",NEGATIVE
Atletico Madrid thrash Granada in season opener  Prothom Alo English,"(14, 8, 2023)",NEGATIVE
Atletico Madrid predicted lineup for 2023-24 season  Khel Now,"(13, 8, 2023)",POSITIVE
All completed La Liga transfers so far in 2023-24 - listed  Goal.com,"(13, 8, 2023)",NEGATIVE
