description,date,sentiment
Thousands Of Hawaii Classrooms Lack AC. The DOE Won’t Say Which Ones  Honolulu Civil Beat,"(7, 8, 2023)",NEGATIVE
Bleach Celebrates 22nd Anniversary With New Key Art  ComicBook.com,"(8, 8, 2023)",POSITIVE
Defense Minister Gallant Threatens to Send Lebanon Back to ‘Stone Age’ if Hezbollah Provokes Israel  Haaretz,"(8, 8, 2023)",NEGATIVE
Is Shuhei Hisagi's Bankai canon in Bleach? Explained  Sportskeeda,"(2, 8, 2023)",NEGATIVE
Remembering Tama: Why Japan's First Cat Station Master Remains Popular  JAPAN Forward,"(4, 8, 2023)",POSITIVE
Nancy Morejón: 79 years of a life loyal to Cuba and her work  Radio Habana Cuba,"(7, 8, 2023)",POSITIVE
"Charlie, Joseph and Elisse showcase amazing teamwork in “Pira-Pirasong Larawan” Challenge  ABS-CBN Entertainment","(8, 8, 2023)",POSITIVE
Bleach Creator Celebrates Their Own Wrestling Superstar in New Sketch  ComicBook.com,"(5, 8, 2023)",POSITIVE
DPDL brings premier football clubs together for national football youth tournament  The News Minute,"(1, 8, 2023)",POSITIVE
"10 strongest characters in Bleach, ranked based on their strength  Sportskeeda","(3, 8, 2023)",POSITIVE
Cuban prime minister analyzes Trinidad's tourism and social progress  Radio Habana Cuba,"(1, 8, 2023)",NEGATIVE
"How powerful is Gremmy Thoumeaux in Bleach TYBW? Kenpachi's opponent, explored  Sportskeeda","(3, 8, 2023)",NEGATIVE
French Association celebrates 25 years of accompaniment to Cuba  Radio Habana Cuba,"(6, 8, 2023)",POSITIVE
Resort Hopping in Danao: 4 Must-Visit Resorts  Sugbo.ph,"(5, 8, 2023)",POSITIVE
Fire Force Online Clan tier list (August 2023)  GGRecon,"(1, 8, 2023)",NEGATIVE
Football: Kubo nets Sociedad's 1st goal of season in draw with Girona  Kyodo News Plus,"(13, 8, 2023)",POSITIVE
Barcelona fume at ‘disgrace’ after 116 minutes of pure Bordalásball  The Guardian,"(14, 8, 2023)",NEGATIVE
