description,date,sentiment
Robert Lewandowski: A Bayern and Bundesliga legend  Bundesliga,"(1, 8, 2023)",POSITIVE
Lewandowski opens up on what he told Gundogan before his Barcelona move  Barca Blaugranes,"(5, 8, 2023)",POSITIVE
Robert Lewandowski confident over Barcelona’s potential in 2023/24  Football Espana,"(4, 8, 2023)",POSITIVE
Lewandowski on his bond with Pedri  BeSoccer EN,"(5, 8, 2023)",POSITIVE
Lewandowski's historic 41st goal  Bundesliga,"(7, 8, 2023)",POSITIVE
"Gündoğan, Lewandowski experience set to light up Barca's fortunes | Daily Sabah  Daily Sabah","(7, 8, 2023)",POSITIVE
Lewandowski gets 'wet' with Xavi's idea and style as coach  FC Barcelona Noticias,"(1, 8, 2023)",NEGATIVE
"""It’s easier to play with him on the pitch"" - Robert Lewandowski opens up on playing alongside 20-year-old Barcelona star  Sportskeeda","(4, 8, 2023)",POSITIVE
Messi had a chat with Lewandowski at the Laureus Awards  MUNDO DEPORTIVO,"(5, 8, 2023)",NEGATIVE
Barcelona Win Joan Gamper Trophy After Scoring Three Late Goals To Beat Understrength Tottenham 4-2  Sports Illustrated,"(8, 8, 2023)",POSITIVE
Mane to Al Nassr: Where did it go wrong at Bayern Munich?  DW (English),"(1, 8, 2023)",NEGATIVE
"Barcelona 4-2 Tottenham (Aug 8, 2023) Game Analysis  ESPN","(8, 8, 2023)",POSITIVE
"Haverhill Elections are Non-Partisan, But Here is How Candidates Think of Themselves  WHAV News","(3, 8, 2023)",NEGATIVE
"Xavi talks Lewandowski, Dembele, Gavi, Pedri, Araujo, de Jong, Kounde, transfers  Barca Universal","(6, 8, 2023)",POSITIVE
WATCH: Oliver Skipp on the double! Midfielder inspires Tottenham comeback against Barcelona after Robert Lewandowski opens scoring  GOAL English,"(8, 8, 2023)",POSITIVE
Signing Kane: How Bayern Munich finally replaced Lewandowski  ESPN,"(15, 8, 2023)",POSITIVE
60 years of Bundesliga goal records  Bundesliga,"(13, 8, 2023)",POSITIVE
Obituary for John Thomas Lewandowski | Serving Carson City for over 150 years  Nevada Appeal,"(10, 8, 2023)",POSITIVE
Edward Lewandowski Obituary 2023  chicagolandcremationoptions.com,"(14, 8, 2023)",POSITIVE
"Christopher Michael Lewandowski Obituary (2023) - Schaumburg, IL - Michaels Funeral Home and Cremation Care  Legacy.com","(10, 8, 2023)",POSITIVE
Barça’s 'connection' problems with Robert Lewandowski  FC Barcelona Noticias,"(14, 8, 2023)",NEGATIVE
Barcelona kick off the new season against Getafe  Playing for 90,"(12, 8, 2023)",POSITIVE
Barcelona Win Joan Gamper Trophy After Scoring Three Late Goals To Beat Understrength Tottenham 4-2  Sports Illustrated,"(8, 8, 2023)",POSITIVE
WATCH: Robert Lewandowski scores Barcelona’s first goal at Montjuic in Joan Gamper Trophy  Football Espana,"(8, 8, 2023)",POSITIVE
Bayern's best No.9s  Bundesliga,"(13, 8, 2023)",POSITIVE
WATCH: Oliver Skipp on the double! Midfielder inspires Tottenham comeback against Barcelona after Robert Lewandowski opens scoring  GOAL English,"(8, 8, 2023)",POSITIVE
Bayern Munich have Harry Kane but need a goalkeeper ahead of Bundesliga season  Hindustan Times,"(15, 8, 2023)",NEGATIVE
Harry Kane potential shirt numbers at Bayern Munich  90min UK,"(11, 8, 2023)",POSITIVE
Kane to set to join Bayern Munich: reports  Prothom Alo English,"(10, 8, 2023)",POSITIVE
Bayern reach deal with Spurs to sign Kane  Borneo Bulletin,"(11, 8, 2023)",POSITIVE
Signing Kane: How Bayern Munich finally replaced Lewandowski  ESPN,"(15, 8, 2023)",POSITIVE
Xavi defends Robert Lewandowski ahead of Villarreal vs Barcelona  Villarreal USA,"(21, 8, 2023)",POSITIVE
"Xavi Hernandez urges Robert Lewandowski ‘to be patient’, says goals will come for Barcelona striker - Football video  Eurosport COM","(20, 8, 2023)",NEGATIVE
"Robert Lewandowski, 'disconnected' in this league start  FC Barcelona Noticias","(21, 8, 2023)",NEGATIVE
Cary Lewandowski retiring from Glencoe Public Safety after nearly 40 years in law enforcement  Chicago Tribune,"(22, 8, 2023)",NEGATIVE
Robert Lewandowski’s Wag Anna steals the show in risque little black dress as German stars dazzle at Sport...  The US Sun,"(22, 8, 2023)",POSITIVE
Barcelona player ratings vs Cadiz: Pedri and Ilkay Gundogan make magic happen to get lethargic Robert Lewandowski out of jail  Goal.com,"(20, 8, 2023)",POSITIVE
COMMENTARY: California should lower barriers for students receiving financial aid  EdSource,"(15, 8, 2023)",NEGATIVE
"Obituaries in Milwaukee, WI  Milwaukee Journal Sentinel","(17, 8, 2023)",POSITIVE
5 memorable clashes against FC Augsburg  FC Bayern,"(22, 8, 2023)",POSITIVE
Robert Lewandowski and İlkay Gündoğan honored in Germany  FC Barcelona Noticias,"(22, 8, 2023)",POSITIVE
The top 10 goalscorers in the 21st century have been revealed - 26 goals separate Ronaldo and Messi  GIVEMESPORT,"(21, 8, 2023)",POSITIVE
Bayern Munich have Harry Kane but need a goalkeeper ahead of Bundesliga season  Hindustan Times,"(15, 8, 2023)",NEGATIVE
"The top 10 goalscorers in Europe in the 2020s: Lewandowski, Haaland, Mbappe…  Planet Football","(21, 8, 2023)",POSITIVE
Arbitral 'indifference' begins to have consequences on Lewandowski’s physique  FC Barcelona Noticias,"(18, 8, 2023)",NEGATIVE
FC Barcelona Preparing To Sell Robert Lewandowski: Reports  Forbes,"(24, 8, 2023)",POSITIVE
"Lewandowski: ""Kane huge for Bayern and the Bundesliga""  Bundesliga","(24, 8, 2023)",POSITIVE
Harry Kane's perfect Bundesliga start bests Lewandowski and Gerd Muller  Marca English,"(28, 8, 2023)",POSITIVE
Villarreal 3-4 Barcelona: Robert Lewandowski nets winner in seven-goal thriller  Eurosport COM,"(27, 8, 2023)",POSITIVE
‘I don’t have support’ - Lewandowski wants Barcelona to create more chances  Barca Blaugranes,"(29, 8, 2023)",NEGATIVE
Vitor Roque can't arrive at Barcelona soon enough! Robert Lewandowski looks to be losing his goalscoring touch as he enters his twilight years  Goal.com,"(24, 8, 2023)",NEGATIVE
Robert Lewandowski asked about Harry Kane’s Bayern Munich transfer and his old Bundesliga record  Bavarian Football Works,"(25, 8, 2023)",POSITIVE
Robert Lewandowski reveals discrepancies with Xavi with public criticism of Barcelona manager  Football Espana,"(29, 8, 2023)",POSITIVE
Lewandowski 'criticizes' Xavi’s style and confirms he is not comfortable  FC Barcelona Noticias,"(29, 8, 2023)",NEGATIVE
"Indy English teacher bringing new life to former home of the Thirsty Scholar  WISH TV Indianapolis, IN","(29, 8, 2023)",POSITIVE
Robert Lewandowski hints at frustration over Barcelona tactics  90min UK,"(29, 8, 2023)",NEGATIVE
16-year-old Yamal helps Barcelona fight back for 4-3 win at Villarreal  The Associated Press,"(27, 8, 2023)",POSITIVE
Cary Lewandowski retiring from Glencoe Public Safety after nearly 40 years in law enforcement  Chicago Tribune,"(22, 8, 2023)",NEGATIVE
"Rio Ferdinand causes controversy after picking between Karim Benzema, Robert Lewandowski and Luis Suarez  SPORTbible","(29, 8, 2023)",NEGATIVE
Should Barcelona be worried about Robert Lewandowski?  Barca Blaugranes,"(24, 8, 2023)",NEGATIVE
FC Barcelona Receive Tempting Saudi Transfer Offer For Misfiring Robert Lewandowski: Reports  Forbes,"(1, 9, 2023)",NEGATIVE
"Lewandowski's message to Xavi: Sometimes I lack support, we don't play with enough attacking players  Marca English","(30, 8, 2023)",NEGATIVE
‘I don’t have support’ - Lewandowski wants Barcelona to create more chances  Barca Blaugranes,"(29, 8, 2023)",NEGATIVE
Robert Lewandowski reveals discrepancies with Xavi with public criticism of Barcelona manager  Football Espana,"(29, 8, 2023)",POSITIVE
'We don't play with enough attacking players' - Robert Lewandowski aims apparent dig at Barcelona boss Xavi following slow start to season  GOAL English,"(30, 8, 2023)",NEGATIVE
Lewandowski 'criticizes' Xavi’s style and confirms he is not comfortable  FC Barcelona Noticias,"(29, 8, 2023)",NEGATIVE
"Indy English teacher bringing new life to former home of the Thirsty Scholar  WISH TV Indianapolis, IN","(29, 8, 2023)",POSITIVE
Robert Lewandowski hints at frustration over Barcelona tactics  90min UK,"(29, 8, 2023)",NEGATIVE
"Rio Ferdinand causes controversy after picking between Karim Benzema, Robert Lewandowski and Luis Suarez  SPORTbible","(29, 8, 2023)",NEGATIVE
Barcelona superstar opens up on recent struggles: “I don’t get support”  Barca Universal,"(29, 8, 2023)",POSITIVE
Saudi club makes €40 million offer to Barcelona for Robert Lewandowski  Khel Now,"(1, 9, 2023)",POSITIVE
Lewandowski 'criticises' Xavi's style of play: 'We didn't play enough attacking players'  BeSoccer EN,"(30, 8, 2023)",NEGATIVE
Robert Lewandowski hits out at Xavi's Barcelona tactics declaring 'we don't play with enough attacking players  Daily Mail,"(29, 8, 2023)",POSITIVE
"“Hardest to play against” - Rio Ferdinand chooses between Karim Benzema, Luis Suarez and Robert Lewandowski  Sportskeeda","(29, 8, 2023)",NEGATIVE
Destination Arabia? Barça receives a millionaire offer for Lewandowski  FC Barcelona Noticias,"(1, 9, 2023)",NEGATIVE
FC Barcelona Receive Tempting Saudi Transfer Offer For Misfiring Robert Lewandowski: Reports  Forbes,"(1, 9, 2023)",NEGATIVE
