description,date,sentiment
Detectives Searching for Homicide Suspect  fresnosheriff.org,"(1, 8, 2023)",NEGATIVE
Some of California’s best-paid public employees say they’re ready to strike. Here’s why  CalMatters,"(2, 8, 2023)",NEGATIVE
"Iowa sending National Guard, State Troopers to southern U.S. border  WOWT","(2, 8, 2023)",POSITIVE
"Search underway for murder suspect, considered dangerous in Fresno County  KMPH Fox 26","(2, 8, 2023)",NEGATIVE
Celebrating world’s fairs  Eureka Times-Standard,"(2, 8, 2023)",POSITIVE
"MBFD badge-pinning ceremony promotes, honors 13 employees  Easy Reader","(7, 8, 2023)",POSITIVE
Suspect wanted in connection to Fresno County murder arrested in Ceres  KMPH Fox 26,"(8, 8, 2023)",NEGATIVE
California’s 2024 ballot measures will revive familiar ideological battles  CalMatters,"(1, 8, 2023)",POSITIVE
Detectives Arrest Homicide Suspect  fresnosheriff.org,"(11, 8, 2023)",NEGATIVE
Former College of Charleston student arrested on 2020 rape allegations in college dorm room  ABC NEWS 4,"(12, 8, 2023)",NEGATIVE
"California water agency under investigation for discriminating against tribes, people of color  CalMatters","(9, 8, 2023)",NEGATIVE
Fresno Sheriff's Detectives Track Down Homicide Suspect in Ceres  GV Wire ,"(9, 8, 2023)",NEGATIVE
Suspect wanted in connection to Fresno County murder arrested in Ceres  KMPH Fox 26,"(8, 8, 2023)",NEGATIVE
U.S. Virgin Islands U-15s vs. Sint Maarten U-15s  Virgin Islands Daily News,"(11, 8, 2023)",NEGATIVE
Ukrainian Dovbik saved Girona from defeat in the match of the 1st round of La Liga  DailySports,"(12, 8, 2023)",POSITIVE
"Black women in California are overburdened and underserved, new poll finds  CalMatters","(11, 8, 2023)",NEGATIVE
How California voters don’t look like their state  CalMatters,"(9, 8, 2023)",NEGATIVE
Toxic trash: California’s aging hazardous waste sites have troubling safety records  CalMatters,"(22, 8, 2023)",NEGATIVE
Hardly anyone owns a hydrogen car. California may pay up to $300 million for fuel stations anyway  Mountain View Voice,"(19, 8, 2023)",NEGATIVE
Edinburg music teacher remembered by former students for composing legacy of learning  MyRGV,"(19, 8, 2023)",POSITIVE
"California Police Body Camera Footage Can’t Take The Place Of Witness Testimony, Court Rules  LAist","(17, 8, 2023)",NEGATIVE
Real Madrid starlet being on the radar of three different countries at 14 years of age  Football Espana,"(22, 8, 2023)",POSITIVE
Hidden Hazards: Toxic waste in California  CalMatters,"(22, 8, 2023)",NEGATIVE
Texas Permits Lignite Mine Expansion Despite Water Worries  InsideClimate News,"(23, 8, 2023)",POSITIVE
Imaging Acute and Chronic Cardiac Complications of COVID-19 and after COVID-19 Vaccination  RSNA Publications Online,"(24, 8, 2023)",NEGATIVE
Beyoncé's concert lit up metro Phoenix and her fans served fashion. Here's what they wore  The Arizona Republic,"(24, 8, 2023)",POSITIVE
Toxic trash: California’s aging hazardous waste sites have troubling safety records  CalMatters,"(22, 8, 2023)",NEGATIVE
California needs every transportation option to meet climate goals – including hydrogen  CalMatters,"(25, 8, 2023)",NEGATIVE
"GOP attack on Newsom misses mark, but California's unemployment program remains a hot mess  CalMatters","(29, 8, 2023)",NEGATIVE
Risks for adding hydrogen energy to California gas systems are not worth the limited reward  CalMatters,"(25, 8, 2023)",NEGATIVE
"GOP attack on Newsom misses mark, but California's unemployment program remains a hot mess  CalMatters","(29, 8, 2023)",NEGATIVE
"Spain must break 'pact of silence' over sexism, equality minister says  Reuters","(30, 8, 2023)",NEGATIVE
Volleyball: Cuba to Norceca with top players and a newcomer  Radio Habana Cuba,"(30, 8, 2023)",POSITIVE
Over 300 CXC exam absences in A&B this year - thousands of dollars in registration fees forfeited  Antigua Observer,"(1, 9, 2023)",NEGATIVE
Former CEO of Brazil's Americanas denies knowledge of accounting fraud  Reuters,"(5, 9, 2023)",NEGATIVE
Paisas gang member arrested for being in the country illegally  Laredo Morning Times,"(8, 9, 2023)",NEGATIVE
High-tech California struggles to use technology managing state government  CalMatters,"(5, 9, 2023)",NEGATIVE
México en el Corazón draws largest-ever Lansing crowd  The Lansing Journal,"(5, 9, 2023)",POSITIVE
California pushing back on school book bans  CalMatters,"(8, 9, 2023)",NEGATIVE
"David San Miguel Obituary (2023) - Fontana, CA - Ingold Funeral & Cremation - Fontana  Legacy.com","(5, 9, 2023)",NEGATIVE
Over 300 CXC exam absences in A&B this year - thousands of dollars in registration fees forfeited  Antigua Observer,"(1, 9, 2023)",NEGATIVE
"Some of California best-paid employees will get bonuses of $40,000 or more in new contract  CalMatters","(6, 9, 2023)",NEGATIVE
He lied to win a California rehab contract. Now he’s convicted of exploiting parolees in his care  CalMatters,"(6, 9, 2023)",NEGATIVE
Real Madrid leave the door wide open for their talents exiled from Castilla  French Football Weekly,"(5, 9, 2023)",POSITIVE
Newsom signs climate bills that force large companies to reveal role and risks in climate change  CalMatters,"(12, 9, 2023)",NEGATIVE
"STMNT Grooming Goods® launches Three New Styling Products: Curl Cream, Gel and Definition Spray  PR Newswire","(12, 9, 2023)",POSITIVE
Paisas gang member arrested for being in the country illegally  Laredo Morning Times,"(8, 9, 2023)",NEGATIVE
Red Bulls Academy Announce 2023-24 Season Staff and Competition Schedule  New York Red Bulls,"(12, 9, 2023)",POSITIVE
Family asks Venezuelan Attorney General to investigate alleged torture of detained student  Agencia EFE,"(13, 9, 2023)",NEGATIVE
This bill could give Californians an ally on public record requests  CalMatters,"(12, 9, 2023)",NEGATIVE
Which bills did Gavin Newsom sign into new California laws?  CalMatters,"(11, 9, 2023)",NEGATIVE
Gov. Gavin Newsom may regret pledges to Black Californians  CalMatters,"(12, 9, 2023)",NEGATIVE
"For more than 20 years, California lawmakers wouldn't let their staffers unionize. That's about to change  CalMatters","(12, 9, 2023)",POSITIVE
California Legislature kills and weakens bills in final push  CalMatters,"(13, 9, 2023)",NEGATIVE
Coercion for the mentally ill in California can also be a form of compassion  CalMatters,"(19, 9, 2023)",POSITIVE
Photos: Harvest time in the cranberry bogs is a Mass. tradition  Enterprise News,"(21, 9, 2023)",POSITIVE
What Californians Need to Know About the 2024 Mental Health Ballot Measure  chcf.org,"(21, 9, 2023)",NEGATIVE
"Aurea Yolanda Gutierrez Obituary (2023) - Chicago, IL - Casey & Rios Funeral Home  Legacy.com","(19, 9, 2023)",NEGATIVE
"He doesn’t know who flew him to California. A year later, this migrant’s future is uncertain.  CalMatters","(20, 9, 2023)",NEGATIVE
Bahamas hosts Grenada in Group C to kick off League C  Caribbean Life,"(19, 9, 2023)",POSITIVE
Newsom burnishes his national image by waging new attack on oil industry  CalMatters,"(20, 9, 2023)",NEGATIVE
"Patricia Pesek Obituary (1954 - 2023) - Marysville, CA - Appeal Democrat  Legacy.com","(26, 9, 2023)",POSITIVE
The Bay-Delta ecosystem is collapsing. California just unveiled rival rescue plans  CalMatters,"(29, 9, 2023)",NEGATIVE
"He doesn’t know who flew him to California. A year later, this migrant’s future is uncertain  The Bakersfield Californian","(24, 9, 2023)",NEGATIVE
Real Madrid’s left-backs: Why Garcia and Mendy have yet to solve problem position  The New York Times,"(27, 9, 2023)",NEGATIVE
Venezuelan government “completely” dismantles “Tren de Aragua” criminal organization  Agencia EFE,"(23, 9, 2023)",NEGATIVE
Barbados open with big win against SVG in Road to W Gold Cup  Stabroek News,"(24, 9, 2023)",POSITIVE
"California community college enrollment is up, but one group of students lags behind  CalMatters","(27, 9, 2023)",NEGATIVE
California's EDD has enough problems. Giving jobless benefits to striking workers is the last thing it needs  CalMatters,"(25, 9, 2023)",NEGATIVE
"Villarreal - Girona - 1:2. Spanish Championship, 7th round. Match review, statistics (Sept. 27, 2023)  Динамо Киев от Шурика","(27, 9, 2023)",POSITIVE
The Bay-Delta ecosystem is collapsing. California just unveiled rival rescue plans  CalMatters,"(29, 9, 2023)",NEGATIVE
Real reclaim top spot with 3-0 win at Girona  Reuters,"(30, 9, 2023)",POSITIVE
"California community college enrollment is up, but one group of students lags behind  Long Beach Post","(30, 9, 2023)",NEGATIVE
The Best Young Left Backs in EA Sports FC 24 (EA FC Career Mode LB Wonderkids)  GameRant,"(29, 9, 2023)",POSITIVE
Girona 0-3 Real Madrid - Goals and Highlights - LaLiga 2023/24  Marca.com,"(30, 9, 2023)",POSITIVE
"With the death of Sen. Dianne Feinstein, whom will Newsom appoint?  CalMatters","(29, 9, 2023)",NEGATIVE
Girona 0-3 Real Madrid: Player ratings as Bellingham scores in easy win  90min UK,"(30, 9, 2023)",POSITIVE
"Girona vs Real Madrid, LaLiga: Why you can't miss the top of the table clash in Spanish League?  myKhel","(30, 9, 2023)",POSITIVE
Football Manager 2023: Best Wonderkids You Can Buy For Cheap  Cultured Vultures,"(1, 10, 2023)",POSITIVE
Making water conservation a ‘California way of life’: Controversial state rules could cost $13 billion  CalMatters,"(5, 10, 2023)",NEGATIVE
The Bay-Delta ecosystem is collapsing. California just unveiled rival rescue plans  Capital Public Radio News,"(2, 10, 2023)",NEGATIVE
EA Sports FC 24: Best Young Left Backs To Sign In Career Mode  TheGamer,"(5, 10, 2023)",POSITIVE
Anti-Chavista demands Supreme Court respond request for suspension of opposition primaries  Agencia EFE,"(6, 10, 2023)",NEGATIVE
California has a new plan for the Delta but faces the same conflicts over water  CalMatters,"(8, 10, 2023)",NEGATIVE
Strike benefits squabble renews focus on California's insolvent unemployment insurance system  CalMatters,"(4, 10, 2023)",NEGATIVE
