description,date,sentiment
Inter Milan Coach Wants Ex Chelsea Star – Club Directors Yet To Be Convinced  SempreInter.com,"(6, 8, 2023)",NEGATIVE
Alvaro Morata expected to stay at Atletico Madrid  RomaPress.net,"(7, 8, 2023)",NEGATIVE
Alvaro Morata departure looking unlikely as Italian giants cool interest in Atletico Madrid striker  Football Espana,"(5, 8, 2023)",NEGATIVE
Juventus 'identify Alvaro Morata as an alternative to Romelu Lukaku' - as Atletico Madrid striker 'gives green  Daily Mail,"(3, 8, 2023)",POSITIVE
Morata offered to renew his contract after deciding to stay at Atletico  BeSoccer EN,"(7, 8, 2023)",NEGATIVE
Simeone calls Milan and Inter linked Morata ‘essential’ for Atletico  Football Italia,"(1, 8, 2023)",POSITIVE
Italian Media Claim Ex Real Madrid Star Tops Inter Milan’s List Of Striker Targets  SempreInter.com,"(6, 8, 2023)",POSITIVE
Mourinho wants Alvaro Morata at all costs  RomaPress.net,"(3, 8, 2023)",NEGATIVE
Serie A giant closes the door on Atletico Madrid striker Alvaro Morata – ‘We have a competitive squad’  Football Espana,"(2, 8, 2023)",POSITIVE
MN: Origi does not wish to leave Milan but is still training separately  Sempre Milan,"(7, 8, 2023)",POSITIVE
"Transfer rumours: Ramos to PSG, Morata to Juventus, Ekitike battle  Sports Mole","(4, 8, 2023)",NEGATIVE
Roma manager Jose Mourinho denies trying provoke club bosses  Modern Ghana,"(8, 8, 2023)",NEGATIVE
Alvaro Morata turns down Roma rumors: “They’re not an option right now.”  RomaPress.net,"(4, 8, 2023)",NEGATIVE
Atletico Madrid forward Alvaro Morata rules out move to Roma this summer  Football Espana,"(4, 8, 2023)",POSITIVE
CM: Calafiori is the favourite to replace Ballo-Toure at Milan  Sempre Milan,"(5, 8, 2023)",POSITIVE
4 talking points from Atlético Madrid 3-1 Granada  Into The Calderon,"(15, 8, 2023)",POSITIVE
"Diego Simeone turns down transfer rumors on Alvaro Morata: ""We need him.""  RomaPress.net","(10, 8, 2023)",NEGATIVE
Atletico Madrid start season with 3-1 win over Granada  Agencia EFE,"(15, 8, 2023)",POSITIVE
"LaLiga: Morata, Depay lead Atletico Madrid to 3-1 win over Granada; Félix jeered on the bench  Firstpost","(15, 8, 2023)",POSITIVE
"Atlético 3-1 Granada (Aug 14, 2023) Game Analysis  ESPN","(14, 8, 2023)",NEGATIVE
Alvaro Morata previously told Juventus to sign 'outstanding' Chelsea player  The Chelsea Chronicle - Chelsea FC News,"(9, 8, 2023)",POSITIVE
Atletico Madrid finish opening weekend on top of La Liga table  theScore,"(14, 8, 2023)",POSITIVE
Atletico Madrid 3-1 Granada: Memphis Depay scores second-half screamer as Diego Simeone's side kickstart LaLig  Daily Mail,"(14, 8, 2023)",NEGATIVE
Atletico Madrid Slated to Take Morata Off the Market  The Cult of Calcio,"(8, 8, 2023)",NEGATIVE
Alvaro Morata agrees new contract with Atletico Madrid until 2027  TechnoSports Media Group,"(9, 8, 2023)",POSITIVE
4 talking points from Atlético Madrid 3-1 Granada  Into The Calderon,"(15, 8, 2023)",POSITIVE
Atletico Madrid start season with 3-1 win over Granada  Agencia EFE,"(15, 8, 2023)",POSITIVE
"LaLiga: Morata, Depay lead Atletico Madrid to 3-1 win over Granada; Félix jeered on the bench  Firstpost","(15, 8, 2023)",POSITIVE
Dybala ‘called’ Morata at Roma and reveals chat with Mourinho during holiday  Football Italia,"(19, 8, 2023)",POSITIVE
"Betis vs Atlético: Where to watch the match online, live stream, TV channels, and kick-off time  Goal.com","(20, 8, 2023)",POSITIVE
The players with the highest combined transfer fees  90min UK,"(18, 8, 2023)",NEGATIVE
Longo: Azmoun links not concrete as Milan remain focused on Chelsea striker  Sempre Milan,"(19, 8, 2023)",NEGATIVE
Depay rocket helps Atletico to win over Granada  DAWN.com,"(16, 8, 2023)",POSITIVE
Atletico Madrid concerned about position after suffering training injury  Football Espana,"(17, 8, 2023)",POSITIVE
La Liga: Memphis Depay rocket helps Atletico Madrid to 3-1 win over Granada  The Times of India,"(15, 8, 2023)",POSITIVE
The 10 players with the highest combined transfer fees: Neymar poised to rise…  Planet Football,"(15, 8, 2023)",POSITIVE
Atletico Madrid complete signing of Samu Omorodion  soccertimes.com,"(21, 8, 2023)",POSITIVE
Footage shows Joao Felix being subjected to tirade of abuse from Atletico Madrid fans...  talkSPORT,"(15, 8, 2023)",NEGATIVE
Atletico hit three to take early Liga lead  Borneo Bulletin,"(16, 8, 2023)",POSITIVE
CM: Change of scenery with Atalanta may have been all that De Ketelaere needed  Sempre Milan,"(21, 8, 2023)",NEGATIVE
"Atlético 7-0 Rayo (Aug 28, 2023) Game Analysis  ESPN","(28, 8, 2023)",POSITIVE
Report: Juventus could sign Alvaro Morata if Moise Kean leaves this summer  Black & White & Read All Over,"(23, 8, 2023)",NEGATIVE
Rayo Vallecano 0-7 Atletico Madrid: Diego Simeone's men run riot as Alvaro Morata strikes twice in seven-goal  Daily Mail,"(28, 8, 2023)",POSITIVE
Alvaro Morata scores twice as Atletico Madrid thrash Rayo Vallecano 7-0  The Times of India,"(29, 8, 2023)",POSITIVE
"European roundup: Atlético rout Rayo Vallecano 7-0, Inter win at Cagliari  The Guardian","(28, 8, 2023)",POSITIVE
"Atlético 7-0 Rayo (29 Aug, 2023) Final Score - ESPN (IN)  ESPN India","(28, 8, 2023)",POSITIVE
Juric believes there is a ‘huge gap’ between Torino and Milan after 4-1 loss  Sempre Milan,"(27, 8, 2023)",NEGATIVE
Rayo Vallecano 0-7 Atlético Madrid: Player Ratings  Into The Calderon,"(29, 8, 2023)",NEGATIVE
Morata scores twice as Atletico thrash Rayo 7-0| Gulf Times  Gulf Times,"(29, 8, 2023)",POSITIVE
Club Atlético de Madrid - We face Numancia in the Jesús Gil y Gil Memorial  Atletico Madrid,"(24, 8, 2023)",POSITIVE
Atletico crush dismal Rayo in seven-goal rout  theSun,"(29, 8, 2023)",NEGATIVE
"Morata could return to Juventus if Moise Keane leaves Turin (Aug. 24, 2023)  Динамо Киев от Шурика","(24, 8, 2023)",NEGATIVE
Chelsea can finally complete dream transfer with two perfect deals for Mauricio Pochettino  Football.London,"(28, 8, 2023)",POSITIVE
Vitiello: Bayern not the only club to enquire about Kalulu – Milan sent a ‘clear message’  Sempre Milan,"(29, 8, 2023)",NEGATIVE
"Rayo Vallecano - Atletico - 0:7. Spanish Championship, 3rd round. Match review, statistics (Aug. 29, 2023)  Динамо Киев от Шурика","(29, 8, 2023)",NEGATIVE
Alvaro Morata scores twice as Atletico Madrid thrash Rayo 7-0  The Indian Express,"(29, 8, 2023)",POSITIVE
Alvaro Morata scores twice as Atletico Madrid thrash Rayo Vallecano 7-0  The Times of India,"(29, 8, 2023)",POSITIVE
Amrabat leaving Fiorentina is the biggest deal on quiet transfer deadline day in Italy  The Associated Press,"(1, 9, 2023)",NEGATIVE
Rayo Vallecano 0-7 Atlético Madrid: Player Ratings  Into The Calderon,"(29, 8, 2023)",NEGATIVE
Morata scores twice as Atletico thrash Rayo 7-0| Gulf Times  Gulf Times,"(29, 8, 2023)",POSITIVE
"Romelu Lukaku, Chelsea, Roma and a $15m gamble - The Athletic  The New York Times","(29, 8, 2023)",POSITIVE
Vitiello: Bayern not the only club to enquire about Kalulu – Milan sent a ‘clear message’  Sempre Milan,"(29, 8, 2023)",NEGATIVE
Red-hot Atletico can confirm title credentials against struggling Sevilla  theScore,"(1, 9, 2023)",POSITIVE
Atletico crush dismal Rayo in seven-goal rout  theSun,"(29, 8, 2023)",NEGATIVE
Atletico Madrid confirm Memphis Depay set to miss La Liga clash against Sevilla  PlanetSport,"(31, 8, 2023)",NEGATIVE
"CorSport: Kostic has disappeared, Juventus can sell him in 48 hours  Football Italia","(30, 8, 2023)",NEGATIVE
