description,date,sentiment
No Kylian Mbappe? Real Madrid still have a star in attack in Vinicius Jr - The Athletic  The New York Times,"(3, 8, 2023)",NEGATIVE
Analysis: Can Vinicius Jr position change ease Kylian Mbappe into Real Madrid?  Football Espana,"(4, 8, 2023)",NEGATIVE
Brave move! Vinicius Jr asked for Cristiano Ronaldo’s old No.7 shirt at Real Madrid  Goal.com,"(4, 8, 2023)",POSITIVE
"Real Madrid defender Antonio Rüdiger opens up to GQ about racism, Vini Jr, Spanish food and life in Spain  AS USA","(8, 8, 2023)",POSITIVE
"Real Madrid vs Juventus score, result, highlights as Vinicius scores in a 3-1 preseason loss to close USA tour  Sporting News","(2, 8, 2023)",POSITIVE
Diego Costa backs Vinicius Jnr for taking on racists as he opens up on abuse he suffered in LaLiga... but the  Daily Mail,"(4, 8, 2023)",NEGATIVE
"Real Madrid Star Flaunts a New Pendant Honoring Cristiano Ronaldo, After Admitting To Have Watched All Games of His ‘Idol’ CR7  EssentiallySports","(7, 8, 2023)",NEGATIVE
Managing Madrid Podcast: How will Mbappe’s arrival affect Vinicius and Bellingham? MAILBAG!  Managing Madrid,"(5, 8, 2023)",NEGATIVE
Vinicius Junior & Eder Militao urge Real Madrid to sign Kylian Mbappe  90min UK,"(7, 8, 2023)",NEGATIVE
Footage captures Real Madrid star Jude Bellingham’s reaction to Toni Kroos’ brilliant pass for Vinicius Jr’...  talkSPORT,"(3, 8, 2023)",POSITIVE
"""Great gesture for a living legend,"" ""Too cold"" - Fans in awe as Real Madrid superstar gets new No. 7 pendant in honor of Cristiano Ronaldo  Sportskeeda","(7, 8, 2023)",POSITIVE
How Kylian Mbappe would fit into Real Madrid’s star-studded line-up  The New York Times,"(2, 8, 2023)",POSITIVE
Carlo Ancelotti explains pros and cons of new position for Real Madrid star Vinicius Junior  Football Espana,"(2, 8, 2023)",POSITIVE
Ronaldinho shares pic with fellow Brazil legends and ‘breaks the internet’ as fans joke ‘too many trophies...  The Sun,"(2, 8, 2023)",NEGATIVE
"Real Madrid vs Al Ahly final score, result as Los Blancos clinch FIFA Club World Cup final spot  Sporting News","(2, 8, 2023)",POSITIVE
"Real Madrid defender Antonio Rüdiger opens up to GQ about racism, Vini Jr, Spanish food and life in Spain  AS USA","(8, 8, 2023)",POSITIVE
Inside Vini Jr.'s incredible car collection - from Audi A7 to BMW M50  Goal.com,"(11, 8, 2023)",POSITIVE
Vinicius Jr. announced as EA Sports FC Mobile cover star  Insidethegames.biz,"(12, 8, 2023)",NEGATIVE
"Griezmann, Fekir and Vini Jr. are favorites for LaLiga's Decisive Player of the Year award  Marca.com","(11, 8, 2023)",POSITIVE
Athletic Bilbao 0-2 Real Madrid: Jude Bellingham scores on La Liga debut as Carlo Ancelotti’s side impress in opener  Eurosport COM,"(12, 8, 2023)",POSITIVE
Vinicius Expresses Desire for Real Madrid-PSG Agreement to Play Alongside Mbappé – Report  PSG Talk,"(9, 8, 2023)",NEGATIVE
VIDEO: How will Mbappe affect Vinicius and Bellingham?  Managing Madrid,"(9, 8, 2023)",NEGATIVE
Rüdiger breaks the silence on racism in football and defends Vinicius Jr  FC Barcelona Noticias,"(9, 8, 2023)",POSITIVE
Athletic v Real Madrid - as it happened  BeSoccer EN,"(12, 8, 2023)",NEGATIVE
"Real Madrid vs Braga score, result and highlights as Los Blancos seal Champions League Round of 16 spot  Sporting News","(11, 8, 2023)",POSITIVE
Real Madrid player ratings vs Athletic Club: Jude Bellingham looks right at home as Los Blancos open La Liga campaign in style  Goal.com,"(12, 8, 2023)",POSITIVE
"Vinicius Jr chooses the best player in history, it's not Messi or Pelé  El Futbolero USA","(10, 8, 2023)",POSITIVE
EA Sports FC 24 hints at massive Vinicius Jr ratings  Video Gamer,"(9, 8, 2023)",NEGATIVE
Vinicius Jr pays tribute to idol Cristiano Ronaldo with new pendant  Sportsbrief,"(9, 8, 2023)",POSITIVE
Who will be the cover star for EA FC Mobile? Real Madrid superstar confirms rumors  Sportskeeda,"(8, 8, 2023)",NEGATIVE
Vinicius Júnior's frustration at his new role another dilemma for Real Madrid  ESPN,"(22, 8, 2023)",NEGATIVE
Vinicius Junior makes impressive start to new season despite positional change at Real Madrid  Football Espana,"(22, 8, 2023)",POSITIVE
From Brazil To Real Madrid: Palmeiras Star Endrick Is Next In Line  Forbes,"(22, 8, 2023)",POSITIVE
Why Carlo Ancelotti was unhappy with Vinicius Junior during win at Almeria  90min UK,"(20, 8, 2023)",NEGATIVE
"Madrid 'raja' against UEFA: Vinicius, not in the Top 10 for player of the year  FC Barcelona Noticias","(18, 8, 2023)",NEGATIVE
Managing Madrid Podcast: Can Vinicius get to 40 goals per year? What’s the latest with Mbappe?  Managing Madrid,"(17, 8, 2023)",NEGATIVE
Ancelotti scolds Vinicius for not defending  BeSoccer EN,"(19, 8, 2023)",NEGATIVE
Bellingham: I'm 10x better than at Dortmund  ESPN,"(19, 8, 2023)",POSITIVE
Jude Bellingham tipped to succeed Real Madrid legend after latest goalscoring exploits  The Mirror,"(20, 8, 2023)",POSITIVE
WATCH: Jude Bellingham's at it again! New Real Madrid star scores brace AND assists Vinicius Jr to continue flying start to life in La Liga  Goal.com,"(19, 8, 2023)",POSITIVE
Carlo Ancelotti explains Vinicius Junior debate in Almeria win  Football Espana,"(19, 8, 2023)",NEGATIVE
Obasi: Meet Remo’s Vinicius Jnr  Punch Newspapers,"(16, 8, 2023)",POSITIVE
"Talking points from Real Madrid’s first two games, including Vinicius’s role in the diamond  Managing Madrid","(22, 8, 2023)",POSITIVE
Endrick could become new Neymar and former teammate backs him to take Real Madrid by storm after Chelsea...  talkSPORT,"(18, 8, 2023)",POSITIVE
Real Madrid player ratings vs Almeria: Sensational Jude Bellingham is already paying back his €103m transfer fee  Goal.com,"(19, 8, 2023)",NEGATIVE
Brazil star Vinicius Jr. will miss World Cup qualifiers with hamstring injury  FOX Sports,"(28, 8, 2023)",NEGATIVE
Vinicius Junior to miss Brazil fixtures with thigh injury set to rule him out for extended period  The New York Times,"(28, 8, 2023)",NEGATIVE
Real Madrid confirm Vinicius Jr injury to right hamstring: how long is he out for?  AS USA,"(28, 8, 2023)",NEGATIVE
Real Madrid win despite Vinicius Junior injury as Jude Bellingham scores fourth goal in first three matches  CBS Sports,"(25, 8, 2023)",POSITIVE
"La Liga supports Vinicius Junior, Black players in fight against racism  Andscape","(26, 8, 2023)",POSITIVE
"Vinicius Jr injured for six weeks, could miss Madrid Derby  Marca English","(28, 8, 2023)",NEGATIVE
Vinicius Júnior's frustration at his new role another dilemma for Real Madrid  ESPN,"(22, 8, 2023)",NEGATIVE
"Vinicius out of Brazil’s World Cup qualifying matches, Raphinha in  The Associated Press","(29, 8, 2023)",NEGATIVE
Spain: Real Madrid star Vinicius Jr. out with leg injury  Middle East Monitor,"(29, 8, 2023)",NEGATIVE
Vinicius Jr sidelined for several weeks with thigh injury  The Indian Express,"(28, 8, 2023)",NEGATIVE
Hamstring injury sidelines Vinícius Jr. Will miss Brazil World Cup qualifiers  EL PAÍS USA,"(28, 8, 2023)",NEGATIVE
Bad news for Real Madrid! Vinicius Jr set for lengthy absence as thigh injury worse than first feared  GOAL English,"(28, 8, 2023)",NEGATIVE
OFFICIAL: Real Madrid confirm Vinicius Jr's injury  FC Barcelona Noticias,"(28, 8, 2023)",NEGATIVE
Real Madrid handed bad news about Vinicius Jr’s injury  The Real Champs,"(28, 8, 2023)",NEGATIVE
"Real Madrid's Vinicius Jr. to miss 4-6 weeks with leg injury, likely out for Brazil's World Cup qualifiers  CBS Sports","(28, 8, 2023)",NEGATIVE
"Vinicius out of Brazil’s World Cup qualifying matches, Raphinha in  The Associated Press","(29, 8, 2023)",NEGATIVE
Spain: Real Madrid star Vinicius Jr. out with leg injury  Middle East Monitor,"(29, 8, 2023)",NEGATIVE
Brazil reveal Vinicius replacement in World Cup Qualifiers squad  World Soccer Talk,"(1, 9, 2023)",NEGATIVE
Real Madrid might change plans after Vinicius Jr injury  The Real Champs,"(29, 8, 2023)",NEGATIVE
Real Madrid confirm Vinicius Junior diagnosis & why that is worrying  90min UK,"(29, 8, 2023)",NEGATIVE
Real Madrid dealt Vinicius Jr injury blow as extent of layoff comes to light: Reports  Sportskeeda,"(31, 8, 2023)",NEGATIVE
Updates from Valdebebas: Mendy and Ceballos still not training with the team  Managing Madrid,"(30, 8, 2023)",NEGATIVE
Real Madrid ‘flooded’ with offers for attackers following Vinicius Junior injury  Football Espana,"(29, 8, 2023)",NEGATIVE
Vinicius Junior Set to Miss Next Eight Matches for Real Madrid  The Sports Bank,"(29, 8, 2023)",NEGATIVE
Raphinha replaces Vinicius from Brazil’s squad for World Cup qualifiers  Sportstar,"(30, 8, 2023)",POSITIVE
Chelsea make $24m Vinicius Jr transfer plan in shock deadline day repeat for Mauricio Pochettino  Football.London,"(1, 9, 2023)",NEGATIVE
La Liga: Real Madrid's Vinicius Junior Set to be Sidelined for Up To Six Weeks  News18,"(29, 8, 2023)",NEGATIVE
Official: Barcelona winger replaces injured Real Madrid star in Brazil squad  Barca Universal,"(29, 8, 2023)",POSITIVE
¡Oficial! Brazil Elige a Raphinha to re-employe Vinicius  FC Barcelona Noticias,"(30, 8, 2023)",NEGATIVE
Some of August’s Biggest Jewelry Purchases Like Nicki Minaj’s “Queen Sleeze” Chain and Kid Cudi’s Colorful Grills  Complex,"(1, 9, 2023)",POSITIVE
Why was Vinicius Jr not called up by Brazil for the 2026 World Cup Qualifiers?  Bolavip,"(5, 9, 2023)",NEGATIVE
Brazil reveal Vinicius replacement in World Cup Qualifiers squad  World Soccer Talk,"(1, 9, 2023)",NEGATIVE
Major update on Vinicius Jr’s return for Real Madrid  The Real Champs,"(5, 9, 2023)",POSITIVE
Vinicius goes viral with underwater treadmill training video  AS USA,"(7, 9, 2023)",NEGATIVE
Vinicius Junior sets new injury return target  90min UK,"(5, 9, 2023)",NEGATIVE
"Ballon d’Or 2023: Bellingham, Vinicius and Modrić among the 30 candidates  Managing Madrid","(7, 9, 2023)",POSITIVE
"Real Madrid’s academy, the Dani Carvajal route and dilemma facing youth players  The New York Times","(8, 9, 2023)",POSITIVE
Vinicius Junior giving Real Madrid hope of injury return for major clash  Football Espana,"(5, 9, 2023)",NEGATIVE
Real Madrid player ratings vs Manchester City: Vinicius Jr. stars semi-final  Marca.com,"(5, 9, 2023)",POSITIVE
Chelsea make $24m Vinicius Jr transfer plan in shock deadline day repeat for Mauricio Pochettino  Football.London,"(1, 9, 2023)",NEGATIVE
"Neymar Jr No Longer the ‘Protagonist’ of Brazil, Says Renowned Journalist, Choosing $140,566,930-Rated Real Madrid Star Over Al Hilal Icon  EssentiallySports","(7, 9, 2023)",NEGATIVE
FIFA 23 Futties guide with special pink cards for Ronaldo and Vinicius Jr  Gamesradar,"(5, 9, 2023)",NEGATIVE
“They left me” – Vinicus Jr reacts to Real Madrid teammates partying without him; Jude Bellingham responds  Sportskeeda,"(2, 9, 2023)",NEGATIVE
