Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-20,Dom,La Liga,Semana 2 de partido,Local,V 2–0,Barcelona,Cádiz,No,"LW,RW",6,1,0,0,0,1,1,0,0,7,0,0,1,0.4,0.4,0.0,0,0,1,5,20.0,0,4,2,0,0,Informe del partido,12,0,1,3,33.3,0,1,0.0,0,0,,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,4,3,1,7,,0,,44,41,2,1,0,0,5,1,0,0,0,0,0,0,0,1,0,0,
2023-08-27,Dom,La Liga,Semana 3 de partido,Visitante,V 4–3,Barcelona,Villarreal,No,"RW,LW",28,1,0,0,0,2,1,0,0,26,2,0,0,0.2,0.2,0.4,5,1,21,22,95.5,6,15,1,1,1,Informe del partido,378,131,9,9,100.0,8,9,88.9,3,3,100.0,0.2,1,3,3,0,21,1,0,1,0,1,0,1,0,1,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,2,2,100.0,0,0,2,0,0,0,1,16,11,2,26,100.0,0,0.0,93,61,0,0,0,0,21,4,0,1,0,0,0,0,0,1,0,1,0.0
2023-09-03,Dom,La Liga,Semana 4 de partido,Visitante,V 2–1,Barcelona,Osasuna,No,RW,32,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,8,11,72.7,1,10,0,0,0,Informe del partido,123,9,5,5,100.0,2,2,100.0,1,2,50.0,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,50.0,1,0,1,0,0,0,2,2,10,0,14,,0,,35,13,0,0,1,1,12,1,0,0,0,0,0,0,0,1,0,0,
2023-09-12,Mar,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 6–0,es España,cy Chipre,No,,30,2,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,
2023-09-16,Sáb,La Liga,Semana 5 de partido,Local,V 5–0,Barcelona,Betis,Sí,RW,63,1,0,0,0,3,1,0,0,36,0,0,1,0.2,0.2,0.4,1,0,16,25,64.0,3,12,1,1,1,Informe del partido,154,75,15,19,78.9,1,2,50.0,0,1,0.0,0.1,1,2,1,0,24,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,1,0,1,5,11,20,5,36,100.0,0,0.0,73,38,1,0,3,0,26,10,0,0,1,1,0,0,0,3,0,0,
2023-09-19,Mar,Champions Lg,Etapa de grupo,Local,V 5–0,es Barcelona,be Antwerp,No,LW,23,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,1,0,7,9,77.8,2,9,0,2,1,Informe del partido,159,34,1,1,100.0,4,4,100.0,2,3,66.7,0.0,1,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,7,3,12,50.0,1,50.0,67,6,0,1,1,0,10,2,0,0,0,0,0,0,0,0,0,0,
2023-09-23,Sáb,La Liga,Semana 6 de partido,Local,V 3–2,Barcelona,Celta Vigo,Sí,"RW,LM",71,0,0,0,0,3,0,0,0,54,0,0,1,0.2,0.2,0.0,3,0,37,47,78.7,3,37,2,1,1,Informe del partido,514,61,25,29,86.2,8,13,61.5,2,2,100.0,0.0,2,5,0,0,47,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,2,22,30,2,54,100.0,0,0.0,212,74,3,2,2,0,45,11,0,0,1,0,0,0,0,3,0,0,
2023-09-26,Mar,La Liga,Semana 7 de partido,Visitante,E 2–2,Barcelona,Mallorca,Sí,FW,57,0,0,0,0,1,1,0,0,16,0,1,1,0.3,0.3,0.3,1,0,6,11,54.5,1,6,0,2,1,Informe del partido,52,28,2,5,40.0,1,2,50.0,0,0,,0.1,1,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,6,10,1,16,50.0,1,50.0,17,8,0,0,1,0,10,1,0,0,1,1,0,0,0,4,1,1,50.0
2023-09-29,Vie,La Liga,Semana 8 de partido,Local,V 1–0,Barcelona,Sevilla,No,"RW,LW",20,0,0,0,0,1,0,0,0,11,0,0,0,0.1,0.1,0.0,1,0,6,8,75.0,2,6,1,0,0,Informe del partido,114,37,3,4,75.0,1,2,50.0,2,2,100.0,0.0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,2,2,2,7,2,11,,0,,41,24,0,1,0,0,9,2,0,1,0,1,0,0,0,0,0,0,
2023-10-04,Mié,Champions Lg,Etapa de grupo,Visitante,V 1–0,es Barcelona,pt Porto,No,FW,57,1,0,0,0,3,2,0,0,20,1,0,0,0.6,0.6,0.1,1,0,9,14,64.3,2,13,3,0,0,Informe del partido,134,13,4,7,57.1,4,5,80.0,0,0,,0.0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,1,0,1,2,8,10,4,20,,0,,59,40,2,2,1,0,17,5,0,0,0,0,0,0,0,0,0,0,
