Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-13,Dom,La Liga,Semana 1 de partido,Local,D 1–2,Villarreal,Betis,Sí*,RW,83,0,0,0,0,2,1,0,0,45,0,2,1,0.2,0.2,0.0,2,0,28,37,75.7,9,26,2,4,2,Informe del partido,391,143,20,22,90.9,6,9,66.7,1,2,50.0,0.1,0,3,2,0,37,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,2,0,0,0,2,15,28,5,45,50.0,1,25.0,152,71,2,2,1,0,37,9,0,0,0,0,0,0,0,4,1,0,100.0
2023-08-18,Vie,La Liga,Semana 2 de partido,Visitante,V 1–0,Villarreal,Mallorca,Sí*,RW,75,1,0,0,0,2,1,0,0,50,1,0,1,0.9,0.9,0.1,3,0,30,39,76.9,4,38,0,3,2,Informe del partido,500,166,19,21,90.5,7,12,58.3,4,6,66.7,0.1,2,3,0,0,38,1,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,100.0,0,1,1,1,0,1,8,21,21,5,50,66.7,1,33.3,154,36,1,0,2,4,40,5,0,1,4,0,0,0,0,4,1,0,100.0
2023-08-27,Dom,La Liga,Semana 3 de partido,Local,D 3–4,Villarreal,Barcelona,Sí*,FW,69,0,0,0,0,2,0,0,0,33,2,1,1,0.1,0.1,0.0,3,1,19,23,82.6,5,16,0,2,1,Informe del partido,417,94,5,6,83.3,9,10,90.0,4,4,100.0,0.2,1,0,4,0,21,2,1,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,3,33.3,2,0,3,1,0,1,5,13,16,1,33,50.0,1,50.0,81,13,0,0,1,1,21,5,0,0,3,1,0,0,0,3,1,1,50.0
2023-09-01,Vie,La Liga,Semana 4 de partido,Visitante,D 1–3,Villarreal,Cádiz,Sí,RW,82,0,0,0,0,2,0,0,0,58,0,0,2,0.1,0.1,0.0,2,0,42,48,87.5,8,38,1,4,0,Informe del partido,749,135,20,20,100.0,16,18,88.9,6,7,85.7,0.0,2,7,0,0,44,4,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,1,5,34,20,4,58,0.0,2,50.0,200,58,0,0,3,1,45,7,0,1,2,0,0,0,0,2,2,0,100.0
2023-09-17,Dom,La Liga,Semana 5 de partido,Local,V 2–1,Villarreal,Almería,Sí,AM,84,1,0,0,0,3,1,0,0,44,1,0,0,0.4,0.4,0.1,4,0,28,35,80.0,6,31,3,1,0,Informe del partido,490,130,13,15,86.7,11,13,84.6,3,3,100.0,0.2,3,1,2,0,33,2,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,1,2,11,31,5,44,0.0,1,100.0,146,62,3,1,1,2,35,5,0,1,0,1,0,0,0,0,2,0,100.0
2023-09-21,Jue,Europa Lg,Etapa de grupo,Visitante,D 0–2,es Villarreal,gr Panathinaikos,No,AM,30,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,8,16,50.0,1,12,0,1,1,Informe del partido,146,22,2,2,100.0,6,8,75.0,0,0,,0.0,0,1,0,0,15,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,1,0,1,2,9,7,0,18,100.0,0,0.0,48,19,0,0,1,2,16,2,0,0,0,0,0,0,0,0,0,0,
2023-09-24,Dom,La Liga,Semana 6 de partido,Visitante,E 1–1,Villarreal,Rayo Vallecano,Sí,FW,55,0,0,0,0,1,0,0,0,25,0,0,0,0.1,0.1,0.1,1,0,16,21,76.2,1,18,1,3,2,Informe del partido,194,26,12,13,92.3,3,5,60.0,0,0,,0.0,1,1,0,0,18,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,13,11,4,25,66.7,1,33.3,75,13,1,1,0,1,20,1,0,0,1,0,0,0,0,2,0,0,
2023-10-08,Dom,La Liga,Semana 9 de partido,Local,D 1–2,Villarreal,Las Palmas,No,AM,16,1,0,0,0,1,1,0,0,15,1,0,0,0.0,0.0,0.0,0,0,7,13,53.8,2,14,2,1,1,Informe del partido,173,38,3,4,75.0,1,4,25.0,3,4,75.0,0.0,0,1,0,0,13,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,100.0,0,0,1,0,0,0,1,7,8,0,15,100.0,0,0.0,95,46,3,0,0,4,14,0,0,0,1,0,0,0,0,2,0,0,
2023-10-22,Dom,La Liga,Semana 10 de partido,Local,E 1–1,Villarreal,Alavés,Sí,FW,90,1,0,1,1,1,0,0,0,62,0,0,1,0.9,0.1,0.1,5,0,36,47,76.6,7,43,5,8,4,Informe del partido,578,172,17,24,70.8,13,16,81.3,4,5,80.0,0.3,2,9,2,2,46,1,0,1,0,4,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,3,30,29,7,61,50.0,4,50.0,235,110,1,1,3,5,58,15,0,0,0,0,0,0,0,0,2,1,66.7
2023-10-30,Lun,La Liga,Semana 11 de partido,Visitante,V 3–2,Villarreal,Granada,Sí,FW,83,2,0,1,1,2,2,0,0,51,2,0,0,1.1,0.3,0.0,1,1,25,34,73.5,4,21,0,5,1,Informe del partido,374,57,16,21,76.2,7,11,63.6,2,2,100.0,0.1,0,3,0,0,33,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,50.0,1,0,2,2,0,2,4,30,17,4,50,20.0,4,80.0,58,8,1,0,3,1,35,4,0,1,1,0,0,0,0,5,1,1,50.0
