Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-14,Lun,La Liga,Semana 1 de partido,Local,V 3–1,Atlético Madrid,Granada,Sí,FW,76,0,0,0,0,1,0,0,0,47,0,1,0,0.0,0.0,0.6,4,0,30,36,83.3,2,24,0,1,0,Informe del partido,467,60,17,20,85.0,9,10,90.0,2,2,100.0,0.5,3,0,1,0,32,4,1,0,0,1,1,0,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,1,1,21,25,7,47,0.0,1,100.0,66,13,0,1,3,2,35,6,0,0,0,0,0,0,0,0,1,0,100.0
2023-08-20,Dom,La Liga,Semana 2 de partido,Visitante,E 0–0,Atlético Madrid,Betis,Sí,FW,90,0,0,0,0,2,0,0,0,48,1,0,1,0.1,0.1,0.0,2,0,34,40,85.0,6,33,0,1,1,Informe del partido,568,151,21,22,95.5,8,8,100.0,4,7,57.1,0.1,1,6,1,0,36,4,0,0,0,5,0,4,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0.0,2,0,1,0,0,0,0,30,18,4,48,100.0,0,0.0,123,57,0,0,2,0,38,7,0,0,0,0,0,0,0,1,0,0,
2023-08-28,Lun,La Liga,Semana 3 de partido,Visitante,V 7–0,Atlético Madrid,Rayo Vallecano,Sí,FW,75,1,0,0,0,2,1,1,0,51,3,0,0,0.4,0.4,0.1,10,2,29,39,74.4,2,27,2,3,2,Informe del partido,470,208,14,18,77.8,8,9,88.9,4,6,66.7,0.1,2,3,0,0,34,5,1,0,0,3,0,3,1,1,0,0,3,5,3,1,0,1,0,2,0,0,0,0,0,1,2,0,1,1,1,100.0,0,0,3,1,0,3,10,27,14,1,51,66.7,1,33.3,141,98,1,0,2,2,29,7,0,1,2,0,0,0,0,9,0,0,
2023-09-07,Jue,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 2–0,fr Francia,ie Rep. of Ireland,Sí,AM,89,0,0,0,0,3,0,1,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,,,0,,,,
2023-09-12,Mar,Partido amistoso (M),Partido amistoso (M),Visitante,D 1–2,fr Francia,de Alemania,Sí*,FW,90,1,0,1,1,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,
2023-09-16,Sáb,La Liga,Semana 5 de partido,Visitante,D 0–3,Atlético Madrid,Valencia,Sí,"FW,CM",61,0,0,0,0,0,0,1,0,31,2,0,1,0.0,0.0,0.2,1,0,15,23,65.2,2,20,0,2,1,Informe del partido,224,66,7,7,100.0,5,8,62.5,1,1,100.0,0.2,1,2,1,0,20,3,2,1,0,1,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,100.0,0,1,2,0,0,1,5,11,15,2,31,50.0,1,50.0,66,18,0,0,2,0,24,8,0,0,1,0,0,0,0,0,1,1,50.0
2023-09-19,Mar,Champions Lg,Etapa de grupo,Visitante,E 1–1,es Atlético Madrid,it Lazio,Sí,"FW,CM",90,0,0,0,0,1,0,1,0,75,2,1,0,0.3,0.3,0.1,6,0,54,64,84.4,11,44,3,3,1,Informe del partido,743,253,32,33,97.0,15,19,78.9,3,7,42.9,0.2,3,8,3,1,57,7,1,0,0,8,0,5,3,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,100.0,0,0,3,1,0,2,12,37,27,6,75,33.3,2,66.7,157,101,3,3,2,3,55,4,0,1,0,0,0,0,0,5,1,0,100.0
2023-09-24,Dom,La Liga,Semana 6 de partido,Local,V 3–1,Atlético Madrid,Real Madrid,Sí,"FW,CM",90,1,0,0,0,2,1,0,0,57,3,0,2,0.2,0.2,0.0,4,1,35,44,79.5,6,25,0,2,0,Informe del partido,623,158,13,15,86.7,14,17,82.4,5,8,62.5,0.1,1,4,0,0,36,8,0,0,0,7,1,6,4,2,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,2,1,2,0,1,2,50.0,1,1,3,0,0,2,12,24,21,1,57,0.0,2,100.0,116,46,1,0,4,2,32,5,0,2,0,0,0,0,0,4,0,0,
2023-09-28,Jue,La Liga,Semana 7 de partido,Visitante,V 2–0,Atlético Madrid,Osasuna,Sí,FW,90,1,0,0,0,1,1,0,0,48,1,0,1,0.1,0.1,0.0,1,1,30,39,76.9,3,28,2,2,1,Informe del partido,496,144,13,16,81.3,11,15,73.3,2,3,66.7,0.0,0,3,1,0,35,4,1,0,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,100.0,0,0,1,1,0,2,12,27,9,2,48,50.0,1,50.0,98,45,1,0,2,0,33,1,0,0,0,1,0,0,0,5,1,3,25.0
2023-10-01,Dom,La Liga,Semana 8 de partido,Local,V 3–2,Atlético Madrid,Cádiz,Sí,FW,90,0,0,0,0,6,2,0,0,73,1,0,0,1.1,1.1,0.0,6,0,47,62,75.8,7,41,3,4,3,Informe del partido,645,175,31,34,91.2,10,18,55.6,3,6,50.0,0.1,1,8,1,0,55,7,0,0,0,4,1,4,0,3,0,0,1,2,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,1,1,0,1,2,39,32,7,73,75.0,1,25.0,179,94,1,1,2,0,53,12,0,0,1,1,0,0,0,5,0,1,0.0
