Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-13,Dom,La Liga,Semana 1 de partido,Visitante,E 0–0,Barcelona,Getafe,Sí,CB,90,0,0,0,0,1,0,0,0,145,0,1,1,0.0,0.0,0.3,6,0,122,133,91.7,9,112,4,1,1,Informe del partido,2207,742,46,49,93.9,67,70,95.7,9,12,75.0,0.1,4,19,1,0,129,4,3,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,7,0,10,49,91,9,0,145,100.0,0,0.0,623,438,4,0,0,0,116,0,0,0,2,0,0,0,0,8,4,3,57.1
2023-08-20,Dom,La Liga,Semana 2 de partido,Local,V 2–0,Barcelona,Cádiz,Sí,CB,90,0,0,0,0,3,2,0,0,79,1,0,1,0.8,0.8,0.1,2,0,61,68,89.7,9,56,3,0,0,Informe del partido,1035,367,28,28,100.0,27,31,87.1,5,7,71.4,0.2,1,6,4,1,62,6,1,1,0,3,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,100.0,0,1,1,2,0,6,20,37,24,4,79,,0,,284,209,7,0,0,0,57,1,0,1,0,0,0,0,0,4,4,1,80.0
2023-08-27,Dom,La Liga,Semana 3 de partido,Visitante,V 4–3,Barcelona,Villarreal,Sí,CB,90,0,0,0,0,0,0,0,0,71,2,1,1,0.0,0.0,0.0,1,0,58,63,92.1,3,50,3,0,0,Informe del partido,1060,357,25,25,100.0,27,29,93.1,6,9,66.7,0.0,0,4,0,0,61,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,100.0,0,1,3,3,0,5,29,38,4,0,71,,0,,352,266,1,0,0,0,54,0,0,0,0,0,0,0,0,2,2,3,40.0
2023-09-03,Dom,La Liga,Semana 4 de partido,Visitante,V 2–1,Barcelona,Osasuna,Sí,CB,90,1,0,0,0,2,2,0,0,109,1,2,2,0.1,0.1,0.0,0,0,86,92,93.5,2,81,0,2,2,Informe del partido,1575,689,38,39,97.4,37,41,90.2,10,11,90.9,0.0,0,12,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,2,3,8,0,15,43,58,8,1,109,100.0,0,0.0,382,278,4,0,0,0,81,0,0,0,0,0,0,0,0,3,4,2,66.7
2023-09-07,Jue,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 2–0,fr Francia,ie Rep. of Ireland,Sí,RB,88,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,0,,,,
2023-09-12,Mar,Partido amistoso (M),Partido amistoso (M),Visitante,D 1–2,fr Francia,de Alemania,No,,26,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,
2023-09-16,Sáb,La Liga,Semana 5 de partido,Local,V 5–0,Barcelona,Betis,Sí,CB,90,0,0,0,0,0,0,0,0,84,2,0,0,0.0,0.0,0.0,0,0,72,79,91.1,6,48,0,2,2,Informe del partido,1138,369,36,40,90.0,35,35,100.0,1,2,50.0,0.0,0,3,0,0,78,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,100.0,0,0,2,2,0,4,42,41,1,0,84,100.0,0,0.0,273,176,1,0,1,0,68,0,0,0,0,0,0,0,0,8,2,0,100.0
2023-09-19,Mar,Champions Lg,Etapa de grupo,Local,V 5–0,es Barcelona,be Antwerp,Sí,CB,90,0,0,0,0,1,0,0,0,114,2,1,0,0.0,0.0,0.3,2,0,97,105,92.4,10,86,0,0,0,Informe del partido,1745,580,44,47,93.6,45,47,95.7,8,10,80.0,0.1,2,18,2,0,104,1,1,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,0,0,3,3,0,5,30,71,13,1,114,,0,,432,342,6,0,1,0,93,1,0,0,0,0,0,0,0,3,5,1,83.3
2023-09-23,Sáb,La Liga,Semana 6 de partido,Local,V 3–2,Barcelona,Celta Vigo,Sí,"CB,LB",90,0,0,0,0,0,0,0,0,146,0,0,1,0.0,0.0,0.0,2,0,137,143,95.8,19,111,6,0,0,Informe del partido,2143,761,79,83,95.2,53,54,98.1,5,6,83.3,0.1,2,22,1,0,140,3,1,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,29,106,12,0,146,,0,,712,523,3,0,1,1,116,1,0,0,1,0,0,0,0,8,5,2,71.4
2023-09-26,Mar,La Liga,Semana 7 de partido,Visitante,E 2–2,Barcelona,Mallorca,No,CB,13,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,15,19,78.9,2,12,1,1,0,Informe del partido,290,100,7,9,77.8,4,4,100.0,4,4,100.0,0.1,0,6,1,1,19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,3,17,1,0,21,0.0,1,100.0,91,65,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,1,50.0
2023-09-29,Vie,La Liga,Semana 8 de partido,Local,V 1–0,Barcelona,Sevilla,Sí,CB,90,0,0,0,0,2,0,0,0,77,0,0,0,0.2,0.2,0.0,0,0,62,69,89.9,5,57,0,0,0,Informe del partido,1170,366,18,18,100.0,38,40,95.0,4,9,44.4,0.0,0,5,0,0,67,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,0,8,43,32,2,2,77,,0,,327,226,0,0,1,0,61,0,0,1,1,0,0,0,0,3,4,0,100.0
2023-10-04,Mié,Champions Lg,Etapa de grupo,Visitante,V 1–0,es Barcelona,pt Porto,Sí,CB,90,0,0,0,0,0,0,1,0,93,1,0,2,0.0,0.0,0.0,0,0,73,78,93.6,4,64,0,0,0,Informe del partido,1456,403,19,19,100.0,45,48,93.8,9,11,81.8,0.0,0,1,0,0,73,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,1,1,10,0,20,54,38,1,0,93,,0,,283,150,0,0,1,0,65,0,0,2,1,0,0,0,0,5,5,0,100.0
2023-10-08,Dom,La Liga,Semana 9 de partido,Visitante,E 2–2,Barcelona,Granada,Sí,CB,43,0,0,0,0,1,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,48,49,98.0,5,37,1,0,0,Informe del partido,898,264,13,13,100.0,32,32,100.0,3,4,75.0,0.0,0,5,0,0,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,1,0,3,16,33,2,1,51,,0,,237,199,1,0,0,0,42,1,0,0,0,0,0,0,0,4,1,1,50.0
2023-11-04,Sáb,La Liga,Semana 12 de partido,Visitante,V 1–0,Barcelona,Real Sociedad,Sí,CB,90,0,0,0,0,0,0,0,0,67,0,0,0,0.0,0.0,0.0,2,0,54,60,90.0,1,25,1,1,0,Informe del partido,940,207,20,21,95.2,32,34,94.1,2,4,50.0,0.0,1,2,0,0,54,6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,6,1,14,47,19,2,0,67,0.0,0,0.0,180,109,0,0,0,0,41,0,0,0,0,0,0,0,0,8,4,2,66.7
2023-11-12,Dom,La Liga,Semana 13 de partido,Local,V 2–1,Barcelona,Alavés,Sí,"RB,CB",69,0,1,0,0,0,0,0,0,89,2,1,1,0.0,0.0,0.0,2,1,73,77,94.8,5,54,0,0,0,Informe del partido,1108,344,43,45,95.6,27,27,100.0,3,4,75.0,0.1,1,10,1,1,73,4,0,0,0,1,4,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,100.0,0,0,3,3,2,6,18,53,18,0,89,,0,,265,186,2,0,3,0,65,2,0,1,0,0,0,0,0,3,0,1,0.0
2023-11-21,Mar,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,E 2–2,fr Francia,gr Grecia,Sí,RB,63,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,0,,,,
2023-11-28,Mar,Champions Lg,Etapa de grupo,Local,V 2–1,es Barcelona,pt Porto,Sí,CB,90,0,0,0,0,0,0,0,0,81,0,2,3,0.0,0.0,0.0,3,0,63,72,87.5,3,54,0,1,1,Informe del partido,1439,519,15,16,93.8,33,34,97.1,14,19,73.7,0.0,0,8,0,0,71,1,1,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,2,0,16,54,27,0,0,81,100.0,0,0.0,254,98,0,0,0,0,60,0,0,1,0,0,0,0,0,5,1,5,16.7
2023-12-03,Dom,La Liga,Semana 15 de partido,Local,V 1–0,Barcelona,Atlético Madrid,Sí,RB,90,0,0,0,0,0,0,0,0,69,2,0,0,0.0,0.0,0.3,2,0,58,66,87.9,13,37,3,0,0,Informe del partido,981,344,28,30,93.3,27,28,96.4,3,6,50.0,0.2,1,12,0,0,58,8,2,0,0,4,6,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,100.0,0,0,2,0,0,1,10,41,21,3,69,,0,,174,123,2,0,3,0,54,7,0,4,0,0,0,0,0,4,0,0,
2023-12-10,Dom,La Liga,Semana 16 de partido,Local,D 2–4,Barcelona,Girona,Sí,RB,90,0,0,0,0,1,0,0,0,69,4,0,0,0.0,0.0,0.2,3,0,50,60,83.3,4,35,0,1,1,Informe del partido,795,401,25,26,96.2,20,25,80.0,3,4,75.0,0.2,2,5,0,0,49,11,0,0,0,4,11,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,3,6,50.0,3,0,4,3,0,4,25,29,16,2,69,100.0,0,0.0,137,80,0,0,0,0,40,3,0,1,0,0,0,0,0,3,2,1,66.7
