Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-12,Sáb,La Liga,Semana 1 de partido,Local,E 1–1,Real Sociedad,Girona,Sí,RW,73,1,0,0,0,3,1,0,0,29,2,2,1,0.3,0.3,0.0,1,0,13,17,76.5,4,19,2,2,1,Informe del partido,155,71,10,10,100.0,2,5,40.0,0,0,,0.0,1,4,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,100.0,0,0,4,0,0,0,2,13,15,2,29,50.0,0,0.0,189,78,2,0,2,0,17,4,0,0,0,0,0,0,0,3,0,0,
2023-08-19,Sáb,La Liga,Semana 2 de partido,Local,E 1–1,Real Sociedad,Celta Vigo,Sí,RW,77,0,1,0,0,1,0,0,0,34,1,0,3,0.1,0.1,0.1,3,2,13,28,46.4,1,21,6,1,1,Informe del partido,213,38,7,15,46.7,4,7,57.1,1,3,33.3,0.1,1,0,1,1,28,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,100.0,0,0,1,0,0,1,2,17,15,2,34,100.0,0,0.0,198,121,2,1,2,0,26,7,0,0,2,0,0,0,0,6,0,0,
2023-08-25,Vie,La Liga,Semana 3 de partido,Visitante,E 0–0,Real Sociedad,Las Palmas,Sí,"RW,RM",74,0,0,0,0,2,0,0,0,36,0,1,0,0.1,0.1,0.4,3,0,19,27,70.4,4,28,4,3,2,Informe del partido,302,76,8,11,72.7,9,12,75.0,1,2,50.0,0.3,2,3,1,0,27,0,0,2,0,3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,1,0,0,0,5,17,14,5,36,66.7,1,33.3,212,101,0,3,1,0,24,7,0,2,1,0,0,0,0,7,0,0,
2023-09-02,Sáb,La Liga,Semana 4 de partido,Local,V 5–3,Real Sociedad,Granada,Sí,RW,78,2,0,0,0,2,2,0,0,45,0,0,1,0.4,0.4,0.0,4,1,29,37,78.4,2,33,5,1,0,Informe del partido,379,96,19,23,82.6,8,11,72.7,1,2,50.0,0.1,1,0,0,0,37,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,16,27,7,45,0.0,1,100.0,227,143,2,4,3,0,37,10,0,0,1,3,0,0,0,3,0,0,
2023-09-09,Sáb,Partido amistoso (M),Partido amistoso (M),Visitante,V 4–1,jp Japón,de Alemania,No,,17,0,2,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,
2023-09-12,Mar,Partido amistoso (M),Partido amistoso (M),Neutral,V 4–2,jp Japón,tr Turquía,Sí,AM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,
2023-09-17,Dom,La Liga,Semana 5 de partido,Visitante,D 1–2,Real Sociedad,Real Madrid,Sí,RW,90,0,0,0,0,2,1,0,0,47,0,2,2,0.1,0.1,0.8,7,0,25,31,80.6,3,29,4,7,3,Informe del partido,375,110,16,17,94.1,7,10,70.0,2,2,100.0,0.7,4,0,2,0,27,3,0,1,0,4,0,3,2,1,0,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,1,19,27,5,47,42.9,2,28.6,204,93,3,3,3,0,34,6,0,1,4,0,0,0,0,1,0,1,0.0
2023-09-20,Mié,Champions Lg,Etapa de grupo,Local,E 1–1,es Real Sociedad,it Inter,Sí,RW,71,0,0,0,0,2,1,0,0,31,0,0,0,0.0,0.0,0.7,7,0,23,27,85.2,1,22,1,0,0,Informe del partido,354,134,14,15,93.3,5,6,83.3,3,4,75.0,0.7,4,1,1,1,21,6,0,0,0,6,0,6,1,4,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,8,22,3,31,,0,,145,88,2,2,2,0,21,5,0,1,1,0,0,0,0,2,1,0,100.0
2023-09-24,Dom,La Liga,Semana 6 de partido,Local,V 4–3,Real Sociedad,Getafe,Sí,RM,90,1,0,0,0,1,1,0,0,36,0,1,0,0.1,0.1,0.0,0,0,18,27,66.7,2,20,3,4,2,Informe del partido,286,64,10,10,100.0,8,12,66.7,0,4,0.0,0.0,0,2,0,0,25,1,0,0,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,1,2,0,1,4,13,20,2,36,50.0,1,25.0,218,105,4,0,1,0,25,5,0,1,1,0,0,0,0,5,1,1,50.0
2023-09-30,Sáb,La Liga,Semana 8 de partido,Local,V 3–0,Real Sociedad,Athletic Club,Sí,RM,90,1,0,0,0,2,1,0,0,44,3,0,2,0.2,0.2,0.2,2,0,18,28,64.3,2,28,5,1,0,Informe del partido,245,72,11,12,91.7,6,9,66.7,0,4,0.0,0.1,2,1,2,0,24,4,0,0,0,5,0,4,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,50.0,1,1,3,0,0,2,9,14,24,5,44,0.0,1,100.0,221,130,4,2,5,0,23,7,0,1,2,0,0,0,0,8,0,2,0.0
2023-10-03,Mar,Champions Lg,Etapa de grupo,Visitante,V 2–0,es Real Sociedad,at RB Salzburg,Sí,FW,62,0,1,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.2,3,0,16,19,84.2,1,24,3,5,2,Informe del partido,294,75,9,9,100.0,5,7,71.4,2,2,100.0,0.1,3,1,0,0,18,1,0,0,0,2,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,12,13,2,27,40.0,2,40.0,163,77,0,1,4,1,24,10,0,1,0,0,0,0,0,2,0,1,0.0
2023-10-08,Dom,La Liga,Semana 9 de partido,Visitante,D 1–2,Real Sociedad,Atlético Madrid,Sí,RW,64,0,0,0,0,1,0,0,0,37,2,0,0,0.0,0.0,0.4,2,0,21,25,84.0,3,27,1,4,1,Informe del partido,392,72,12,13,92.3,6,6,100.0,3,4,75.0,0.3,2,1,1,0,23,2,0,1,0,2,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0.0,2,0,2,0,0,0,0,16,22,2,37,25.0,3,75.0,155,51,1,0,3,1,27,7,0,0,0,0,0,0,0,3,0,0,
2023-10-17,Mar,Partido amistoso (M),Partido amistoso (M),Local,V 2–0,jp Japón,tn Túnez,Sí,AM,81,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,
2023-10-21,Sáb,La Liga,Semana 10 de partido,Local,V 1–0,Real Sociedad,Mallorca,No,"FW,RW",31,0,1,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0.4,3,1,7,10,70.0,1,8,3,1,0,Informe del partido,135,46,1,2,50.0,4,6,66.7,1,1,100.0,0.4,2,0,2,1,9,1,0,0,0,3,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6,11,3,17,0.0,1,100.0,43,30,0,2,2,0,12,6,0,0,1,0,0,0,0,1,1,0,100.0
2023-10-24,Mar,Champions Lg,Etapa de grupo,Visitante,V 1–0,es Real Sociedad,pt Benfica,Sí,RW,75,0,0,0,0,5,0,0,0,49,0,0,1,0.2,0.2,0.1,5,0,23,33,69.7,4,38,10,10,7,Informe del partido,373,125,14,17,82.4,5,9,55.6,3,4,75.0,0.1,1,2,2,0,30,3,0,0,0,7,0,3,0,2,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,1,0,1,3,16,31,9,49,70.0,2,20.0,299,190,2,8,4,0,38,14,0,1,2,0,0,0,0,3,0,0,
2023-10-29,Dom,La Liga,Semana 11 de partido,Visitante,E 2–2,Real Sociedad,Rayo Vallecano,Sí,RM,79,0,0,0,0,2,0,0,0,35,0,1,1,0.1,0.1,0.1,4,0,13,19,68.4,2,21,4,4,1,Informe del partido,221,110,8,9,88.9,3,3,100.0,2,4,50.0,0.1,2,0,0,0,15,4,0,0,0,6,0,4,2,2,0,0,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,1,5,10,22,1,35,25.0,2,50.0,233,142,2,1,5,1,19,7,0,1,4,0,0,0,0,4,0,1,0.0
2023-11-04,Sáb,La Liga,Semana 12 de partido,Local,D 0–1,Real Sociedad,Barcelona,Sí,RW,90,0,0,0,0,2,1,0,0,48,1,0,0,0.1,0.1,0.3,6,0,24,38,63.2,4,28,7,6,4,Informe del partido,432,115,12,17,70.6,7,8,87.5,4,9,44.4,0.3,5,0,2,1,30,8,0,0,0,9,0,8,5,2,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,50.0,1,0,1,0,0,0,2,13,34,6,48,66.7,1,16.7,304,161,2,3,3,1,33,10,0,0,0,1,0,0,0,1,0,0,
2023-11-08,Mié,Champions Lg,Etapa de grupo,Local,V 3–1,es Real Sociedad,pt Benfica,Sí,RW,69,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.2,6,0,22,25,88.0,2,22,1,7,2,Informe del partido,350,103,12,12,100.0,6,7,85.7,3,3,100.0,0.2,3,1,1,0,20,5,0,0,0,3,0,5,1,1,1,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,1,1,0,0,3,8,24,4,35,28.6,2,28.6,124,47,0,0,3,2,25,8,0,0,0,1,0,0,0,0,0,1,0.0
2023-11-11,Sáb,La Liga,Semana 13 de partido,Visitante,V 3–1,Real Sociedad,Almería,No,FW,45,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,1,0,7,13,53.8,1,10,3,1,1,Informe del partido,130,51,3,3,100.0,3,4,75.0,1,5,20.0,0.0,1,0,0,0,8,5,3,0,0,6,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,1,0,1,1,3,5,8,2,16,100.0,0,0.0,78,51,1,1,1,0,11,1,0,0,2,2,0,0,0,0,0,0,
2023-11-21,Mar,WCQ,Segunda ronda,Visitante,V 5–0,jp Japón,sy Siria,Sí,AM,74,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,
2023-11-26,Dom,La Liga,Semana 14 de partido,Local,V 2–1,Real Sociedad,Sevilla,Sí,"FW,RM",83,0,0,0,0,4,3,0,0,42,0,0,1,0.3,0.3,0.2,1,0,23,30,76.7,3,23,10,7,1,Informe del partido,365,86,10,12,83.3,11,13,84.6,1,2,50.0,0.5,1,1,1,0,26,4,1,1,0,2,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,15,25,9,42,14.3,4,57.1,281,185,2,6,1,3,25,10,0,0,1,0,0,0,0,3,1,0,100.0
2023-11-29,Mié,Champions Lg,Etapa de grupo,Local,E 0–0,es Real Sociedad,at RB Salzburg,No,"RW,FW",17,0,0,0,0,2,2,0,0,21,1,0,0,0.1,0.1,0.0,4,0,10,17,58.8,2,17,4,2,1,Informe del partido,116,34,8,9,88.9,1,5,20.0,0,1,0.0,0.0,0,0,1,0,13,4,0,0,0,3,1,3,2,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,1,0,0,0,0,2,19,3,21,50.0,1,50.0,175,87,4,2,1,1,17,10,0,0,1,0,0,0,0,0,0,0,
2023-12-02,Sáb,La Liga,Semana 15 de partido,Visitante,E 1–1,Real Sociedad,Osasuna,Sí,RW,90,0,0,0,0,2,1,1,0,55,0,0,0,0.1,0.1,0.1,7,0,34,45,75.6,2,35,7,7,4,Informe del partido,530,132,16,20,80.0,12,16,75.0,3,5,60.0,0.1,3,1,1,0,40,5,0,0,0,7,0,4,2,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,6,16,33,5,55,57.1,2,28.6,324,197,5,3,2,0,42,15,0,2,4,0,0,0,0,3,1,0,100.0
2023-12-06,Mié,Copa del Rey,Segunda ronda,Visitante,V 1–0,Real Sociedad,Andratx,No,,22,0,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,
2023-12-09,Sáb,La Liga,Semana 16 de partido,Visitante,V 3–0,Real Sociedad,Villarreal,Sí,RM,90,1,1,0,0,3,1,0,0,39,3,0,0,0.4,0.4,0.2,3,1,21,28,75.0,4,31,8,0,0,Informe del partido,306,89,14,15,93.3,6,11,54.5,1,2,50.0,0.4,2,0,2,0,26,2,0,0,0,6,0,2,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,1,0.0,1,0,3,0,0,1,6,12,22,7,39,,0,,272,157,1,5,2,2,29,10,0,2,2,0,0,0,0,8,0,2,0.0
2023-12-12,Mar,Champions Lg,Etapa de grupo,Visitante,E 0–0,es Real Sociedad,it Inter,Sí,RM,85,0,0,0,0,0,0,1,0,54,0,0,0,0.0,0.0,0.7,3,0,33,46,71.7,6,31,4,4,2,Informe del partido,570,186,16,21,76.2,14,17,82.4,3,5,60.0,0.4,3,2,3,0,42,4,0,0,0,7,0,4,3,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,2,4,12,38,4,54,50.0,0,0.0,253,140,0,3,3,1,40,12,0,1,1,0,0,0,0,3,0,2,0.0
