Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-13,Dom,La Liga,Semana 1 de partido,Visitante,E 0–0,Barcelona,Getafe,No,"RW,WB",15,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.3,1,0,9,12,75.0,2,13,1,1,0,Informe del partido,144,58,4,4,100.0,5,7,71.4,0,1,0.0,0.1,1,1,1,0,12,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,1,5,9,1,15,0.0,0,0.0,71,48,0,0,2,0,13,5,0,1,0,0,0,0,0,1,0,0,
2023-08-20,Dom,La Liga,Semana 2 de partido,Local,V 2–0,Barcelona,Cádiz,Sí,"WB,RW",84,0,0,0,0,2,2,0,0,54,1,1,0,0.3,0.3,0.3,3,0,35,44,79.5,1,43,6,4,3,Informe del partido,411,65,26,30,86.7,7,9,77.8,0,1,0.0,0.2,1,1,0,0,44,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0.0,1,0,2,1,0,1,1,14,39,12,54,75.0,1,25.0,403,139,2,4,2,0,48,14,0,2,0,0,0,0,0,2,0,0,
2023-08-27,Dom,La Liga,Semana 3 de partido,Visitante,V 4–3,Barcelona,Villarreal,Sí,RW,75,0,1,0,0,4,1,1,0,54,1,1,2,0.2,0.2,0.3,4,2,35,41,85.4,2,35,5,3,3,Informe del partido,457,71,23,25,92.0,9,11,81.8,2,3,66.7,0.4,1,1,3,1,41,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,3,0.0,3,0,2,1,0,0,2,17,35,9,54,100.0,0,0.0,201,126,1,4,0,0,42,12,0,1,2,0,0,0,0,3,0,0,
2023-09-03,Dom,La Liga,Semana 4 de partido,Visitante,V 2–1,Barcelona,Osasuna,Sí,RW,58,0,0,0,0,1,0,0,0,30,1,1,1,0.1,0.1,0.0,1,0,19,23,82.6,1,26,1,3,1,Informe del partido,332,50,9,12,75.0,9,9,100.0,1,2,50.0,0.0,0,1,0,0,22,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,2,1,0,0,5,11,14,3,30,33.3,0,0.0,126,36,0,1,2,1,28,6,0,1,2,0,0,0,0,0,0,1,0.0
2023-09-08,Vie,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 7–1,es España,ge Georgia,No,,47,1,0,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,
2023-09-12,Mar,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 6–0,es España,cy Chipre,Sí,FW,60,0,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,
2023-09-16,Sáb,La Liga,Semana 5 de partido,Local,V 5–0,Barcelona,Betis,No,LW,27,0,0,0,0,1,0,0,0,17,1,0,0,0.0,0.0,0.0,2,1,10,14,71.4,0,9,2,0,0,Informe del partido,165,38,3,4,75.0,5,7,71.4,1,1,100.0,0.1,0,0,1,1,14,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,33.3,2,0,1,0,0,0,1,7,9,3,17,,0,,85,57,1,2,0,0,17,2,0,0,1,0,0,0,0,0,0,0,
2023-09-19,Mar,Champions Lg,Etapa de grupo,Local,V 5–0,es Barcelona,be Antwerp,No,RW,23,0,0,0,0,2,0,0,0,22,0,0,1,0.7,0.7,0.0,3,0,13,17,76.5,1,17,3,4,3,Informe del partido,244,24,3,4,75.0,9,11,81.8,1,1,100.0,0.0,0,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,2,4,17,5,22,75.0,0,0.0,76,47,0,3,1,1,17,6,0,0,0,0,0,0,0,3,0,0,
2023-09-23,Sáb,La Liga,Semana 6 de partido,Local,V 3–2,Barcelona,Celta Vigo,No,RM,45,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,12,13,92.3,2,15,2,1,0,Informe del partido,174,30,5,5,100.0,7,8,87.5,0,0,,0.0,0,0,0,0,12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,9,0,14,0.0,0,0.0,93,58,0,0,0,1,15,6,0,0,2,1,0,0,0,0,0,1,0.0
2023-09-26,Mar,La Liga,Semana 7 de partido,Visitante,E 2–2,Barcelona,Mallorca,No,RM,27,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.3,2,1,12,14,85.7,2,16,0,6,4,Informe del partido,171,62,8,9,88.9,2,3,66.7,1,1,100.0,0.4,1,1,2,1,14,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,4,15,2,19,66.7,2,33.3,105,48,1,0,1,0,16,3,0,0,2,0,0,0,0,2,0,0,
