Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-13,Dom,La Liga,Semana 1 de partido,Visitante,E 0–0,Barcelona,Getafe,Sí,FW,90,0,0,0,0,2,1,0,0,26,0,0,0,0.4,0.4,0.0,2,0,14,19,73.7,2,15,0,0,0,Informe del partido,194,31,10,13,76.9,1,2,50.0,2,2,100.0,0.0,0,2,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,10,16,4,26,,0,,53,8,0,1,3,2,24,5,0,2,3,0,0,0,0,1,2,1,66.7
2023-08-20,Dom,La Liga,Semana 2 de partido,Local,V 2–0,Barcelona,Cádiz,Sí,FW,90,0,1,0,0,5,1,0,0,34,0,0,1,0.5,0.5,0.4,3,1,16,25,64.0,2,21,3,3,2,Informe del partido,251,68,9,12,75.0,4,7,57.1,2,2,100.0,0.0,1,1,0,0,25,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,12,22,7,34,66.7,1,33.3,117,53,3,0,3,2,30,5,0,0,2,1,0,0,0,2,1,1,50.0
2023-08-27,Dom,La Liga,Semana 3 de partido,Visitante,V 4–3,Barcelona,Villarreal,Sí,FW,90,1,0,0,0,5,3,1,0,39,0,1,2,1.6,1.6,0.1,2,0,19,25,76.0,4,22,2,2,1,Informe del partido,313,66,9,10,90.0,9,11,81.8,1,2,50.0,0.1,2,1,1,0,23,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,2,14,25,10,39,50.0,1,50.0,111,21,3,2,5,3,32,11,0,1,2,0,0,0,0,2,4,2,66.7
2023-09-03,Dom,La Liga,Semana 4 de partido,Visitante,V 2–1,Barcelona,Osasuna,Sí,FW,89,1,0,1,1,2,1,1,0,29,0,0,1,1.5,0.8,0.0,2,1,14,19,73.7,1,22,1,0,0,Informe del partido,158,23,11,13,84.6,2,3,66.7,0,0,,0.0,0,1,0,0,18,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,1,0,0,0,2,3,8,18,5,28,,0,,78,21,0,1,3,2,26,6,0,2,1,1,1,0,0,0,0,0,
2023-09-07,Jue,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 2–0,pl Polonia,fo Islas Feroe,Sí*,FW,90,2,0,1,1,6,3,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,0,,,,
2023-09-10,Dom,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,D 0–2,pl Polonia,al Albania,Sí*,FW,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,0,,,,
2023-09-16,Sáb,La Liga,Semana 5 de partido,Local,V 5–0,Barcelona,Betis,Sí,FW,90,1,2,0,0,3,2,0,0,38,0,0,0,0.7,0.7,0.3,8,4,25,31,80.6,7,24,3,1,1,Informe del partido,327,86,16,18,88.9,6,7,85.7,1,1,100.0,0.2,4,2,1,0,31,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,12,26,5,38,100.0,0,0.0,173,116,2,1,1,0,28,5,0,0,4,0,0,0,0,5,0,1,0.0
2023-09-19,Mar,Champions Lg,Etapa de grupo,Local,V 5–0,es Barcelona,be Antwerp,Sí,FW,90,1,1,0,0,6,3,0,0,34,0,0,0,1.0,1.0,0.6,4,1,20,26,76.9,2,22,2,0,0,Informe del partido,239,40,15,18,83.3,4,6,66.7,0,0,,0.2,2,1,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,29,8,34,,0,,110,33,0,2,1,0,31,8,0,0,0,1,0,0,0,0,0,2,0.0
2023-09-23,Sáb,La Liga,Semana 6 de partido,Local,V 3–2,Barcelona,Celta Vigo,Sí,FW,90,2,0,0,0,3,2,0,0,25,0,1,0,0.8,0.8,0.0,0,0,9,14,64.3,0,15,0,0,0,Informe del partido,101,2,7,10,70.0,2,4,50.0,0,0,,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,1,1,7,17,4,25,,0,,38,9,1,0,5,0,22,5,0,2,1,1,0,0,0,1,0,1,0.0
2023-09-26,Mar,La Liga,Semana 7 de partido,Visitante,E 2–2,Barcelona,Mallorca,No,FW,33,0,0,0,0,2,0,0,0,13,0,0,0,0.4,0.4,0.0,0,0,3,6,50.0,0,7,0,0,0,Informe del partido,16,0,1,3,33.3,0,1,0.0,0,0,,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,10,4,13,,0,,21,10,0,0,4,1,10,2,0,1,1,0,0,0,0,2,2,0,100.0
