Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-12,Sáb,La Liga,Semana 1 de partido,Visitante,E 1–1,Girona,Real Sociedad,Sí,LB,90,0,0,0,0,0,0,1,0,46,1,0,1,0.0,0.0,0.0,0,0,33,38,86.8,3,18,0,2,0,Informe del partido,488,92,17,17,100.0,15,19,78.9,0,0,,0.3,0,0,1,0,26,12,1,1,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,50.0,1,0,1,3,0,3,13,19,14,0,46,0.0,0,0.0,79,26,0,0,2,2,22,1,0,1,0,0,0,0,0,3,2,0,100.0
2023-08-20,Dom,La Liga,Semana 2 de partido,Local,V 3–0,Girona,Getafe,Sí,LB,90,0,1,0,0,0,0,0,0,57,0,0,0,0.0,0.0,0.2,2,2,36,43,83.7,5,23,2,1,0,Informe del partido,631,169,13,15,86.7,20,21,95.2,2,5,40.0,0.2,1,2,1,0,34,8,2,0,0,2,6,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,4,21,26,10,1,57,0.0,1,100.0,99,34,1,0,4,1,31,5,0,0,0,0,0,0,0,5,2,0,100.0
2023-08-26,Sáb,La Liga,Semana 3 de partido,Visitante,V 2–1,Girona,Sevilla,Sí,LB,90,0,0,0,0,0,0,0,0,64,0,0,1,0.0,0.0,0.4,1,0,43,51,84.3,1,30,1,6,2,Informe del partido,681,199,17,19,89.5,20,24,83.3,3,4,75.0,0.0,1,1,0,0,45,6,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,5,24,35,6,0,64,33.3,3,50.0,177,89,1,0,2,0,37,2,0,0,1,0,0,0,0,10,1,1,50.0
2023-09-03,Dom,La Liga,Semana 4 de partido,Local,V 1–0,Girona,Las Palmas,Sí,LB,90,0,0,0,0,1,1,0,0,47,1,2,0,0.0,0.0,0.1,1,0,28,37,75.7,2,28,1,7,3,Informe del partido,390,104,20,22,90.9,6,8,75.0,2,5,40.0,0.0,1,0,1,1,31,6,2,0,0,2,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,3,1,0,1,10,24,15,1,47,42.9,4,57.1,190,60,2,0,0,0,27,0,0,0,0,0,0,0,0,4,1,1,50.0
2023-09-18,Lun,La Liga,Semana 5 de partido,Visitante,V 4–2,Girona,Granada,Sí,LB,90,0,0,0,0,0,0,0,0,61,2,0,0,0.0,0.0,0.5,4,1,48,55,87.3,4,38,2,1,1,Informe del partido,742,219,28,31,90.3,17,19,89.5,3,4,75.0,0.2,2,2,2,1,42,13,1,0,0,2,12,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,100.0,0,0,2,3,0,3,16,21,25,1,61,100.0,0,0.0,177,68,1,0,2,1,38,3,0,1,0,1,0,0,0,5,0,0,
2023-09-27,Mié,La Liga,Semana 7 de partido,Visitante,V 2–1,Girona,Villarreal,Sí,LB,90,0,0,0,0,2,0,1,0,55,1,0,1,0.0,0.0,0.0,1,0,40,42,95.2,4,32,3,0,0,Informe del partido,618,308,26,26,100.0,12,13,92.3,2,2,100.0,0.0,0,4,0,0,39,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,50.0,1,1,1,4,0,7,25,22,9,0,55,,0,,277,127,3,0,0,2,34,0,0,1,1,0,0,0,0,8,3,0,100.0
2023-09-30,Sáb,La Liga,Semana 8 de partido,Local,D 0–3,Girona,Real Madrid,Sí,LB,90,0,0,0,0,1,0,0,0,59,1,0,0,0.0,0.0,0.6,3,0,48,54,88.9,7,42,2,0,0,Informe del partido,751,147,32,33,97.0,10,10,100.0,5,6,83.3,0.6,2,5,3,1,48,6,0,1,0,5,6,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,2,0,1,0,0,0,8,30,22,0,59,,0,,230,95,2,1,1,1,47,8,0,0,1,0,0,0,0,3,0,0,
2023-10-07,Sáb,La Liga,Semana 9 de partido,Visitante,V 1–0,Girona,Cádiz,Sí,LM,61,0,0,0,0,3,0,0,0,40,1,0,0,0.1,0.1,0.0,0,0,29,34,85.3,1,24,1,3,2,Informe del partido,337,30,20,22,90.9,6,8,75.0,0,0,,0.0,0,0,0,0,29,5,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.0,2,0,1,1,0,2,13,11,16,0,40,66.7,0,0.0,116,56,1,0,1,0,25,4,0,1,0,0,0,0,0,6,0,0,
2023-10-22,Dom,La Liga,Semana 10 de partido,Local,V 5–2,Girona,Almería,Sí,WB,90,0,0,0,0,1,0,0,0,77,1,0,0,0.0,0.0,0.0,3,0,65,70,92.9,4,38,0,0,0,Informe del partido,1043,236,35,36,97.2,23,25,92.0,6,7,85.7,0.0,1,2,1,0,64,6,1,1,0,1,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,1,0,4,22,46,10,0,77,,0,,180,84,1,0,1,1,53,4,0,1,1,0,0,0,0,8,0,0,
2023-10-27,Vie,La Liga,Semana 11 de partido,Local,V 1–0,Girona,Celta Vigo,Sí,LM,90,0,0,0,0,3,0,0,0,59,2,0,0,0.1,0.1,0.0,1,0,41,49,83.7,3,39,0,1,1,Informe del partido,640,76,24,25,96.0,14,17,82.4,2,4,50.0,0.0,1,5,1,0,41,8,1,0,0,1,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,1,100.0,0,0,2,3,0,6,18,28,15,1,59,100.0,0,0.0,195,49,0,0,1,1,38,10,0,4,2,0,0,0,0,9,0,0,
2023-11-01,Mié,Copa del Rey,Primera ronda,Visitante,V 2–1,Girona,CD San Roque de Lepe,Sí,LB,64,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,,,0,,,,
2023-11-04,Sáb,La Liga,Semana 12 de partido,Visitante,V 4–2,Girona,Osasuna,Sí,LM,90,0,0,0,0,0,0,0,0,63,1,0,3,0.0,0.0,0.0,2,0,35,48,72.9,6,41,4,0,0,Informe del partido,724,228,13,17,76.5,14,17,82.4,7,11,63.6,0.1,1,7,2,2,42,5,1,0,1,8,4,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.0,2,0,1,3,0,2,21,28,14,0,63,,0,,302,159,4,0,3,0,39,6,0,0,2,0,0,0,0,6,1,0,100.0
