Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-25,Vie,La Liga,Semana 3 de partido,Visitante,E 0–0,Real Sociedad,Las Palmas,Sí*,"DM,LM,RM",90,0,0,0,0,1,0,0,0,51,0,0,1,0.0,0.0,0.0,0,0,32,44,72.7,3,30,1,3,2,Informe del partido,436,149,20,24,83.3,7,11,63.6,3,4,75.0,0.0,0,4,0,0,43,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,4,5,40,6,2,51,66.7,1,33.3,125,40,1,0,2,1,38,3,0,5,3,0,0,0,0,9,7,3,70.0
2023-09-02,Sáb,La Liga,Semana 4 de partido,Local,V 5–3,Real Sociedad,Granada,Sí,LM,82,0,0,0,0,1,0,0,0,60,1,0,2,0.0,0.0,0.0,3,1,40,50,80.0,6,44,1,3,2,Informe del partido,552,132,22,27,81.5,13,16,81.3,2,2,100.0,0.0,1,5,1,0,48,1,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,50.0,1,0,1,1,1,2,6,36,19,1,60,66.7,1,33.3,196,68,0,0,1,1,45,6,0,4,4,0,0,0,0,6,2,4,33.3
2023-09-08,Vie,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 7–1,es España,ge Georgia,No,,33,0,1,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,0,,,,
2023-09-12,Mar,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 6–0,es España,cy Chipre,Sí,CM,90,1,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,,,0,,,,
2023-09-17,Dom,La Liga,Semana 5 de partido,Visitante,D 1–2,Real Sociedad,Real Madrid,Sí,LM,90,0,0,0,0,2,1,1,0,54,3,2,0,0.2,0.2,0.0,0,0,39,42,92.9,1,39,1,3,1,Informe del partido,581,100,26,28,92.9,10,11,90.9,3,3,100.0,0.0,0,3,0,0,41,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,75.0,1,0,5,4,0,5,17,28,10,2,54,33.3,2,66.7,137,76,3,1,0,4,41,2,0,2,1,1,0,0,0,8,0,2,0.0
2023-09-20,Mié,Champions Lg,Etapa de grupo,Local,E 1–1,es Real Sociedad,it Inter,Sí,"LM,CM",90,0,0,0,0,2,0,1,0,59,2,1,2,0.2,0.2,0.3,5,0,34,46,73.9,6,32,2,0,0,Informe del partido,516,150,21,26,80.8,10,14,71.4,3,5,60.0,0.0,2,3,1,0,45,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0.0,1,0,3,1,0,3,14,25,20,6,59,,0,,132,67,1,0,2,2,41,5,0,4,2,0,0,0,0,8,8,6,57.1
2023-09-24,Dom,La Liga,Semana 6 de partido,Local,V 4–3,Real Sociedad,Getafe,No,CM,33,0,1,0,0,0,0,0,0,25,1,1,0,0.0,0.0,0.4,2,2,18,22,81.8,2,16,0,0,0,Informe del partido,216,49,11,13,84.6,7,7,100.0,0,1,0.0,0.3,1,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0.0,1,0,2,0,0,0,3,12,10,2,25,,0,,72,32,1,0,0,0,22,3,0,1,5,0,0,0,0,1,3,2,60.0
2023-09-27,Mié,La Liga,Semana 7 de partido,Visitante,V 1–0,Real Sociedad,Valencia,Sí,RM,90,0,0,0,0,1,0,1,0,67,2,0,0,0.0,0.0,0.0,1,0,42,54,77.8,5,39,1,3,1,Informe del partido,638,214,25,27,92.6,13,18,72.2,3,5,60.0,0.0,0,3,0,0,53,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0.0,2,0,2,1,0,1,12,42,14,1,67,33.3,1,33.3,160,57,1,0,5,3,50,3,0,4,2,0,0,0,0,9,6,4,60.0
2023-09-30,Sáb,La Liga,Semana 8 de partido,Local,V 3–0,Real Sociedad,Athletic Club,Sí*,CM,80,0,0,0,0,0,0,1,0,53,0,0,0,0.0,0.0,0.0,4,1,27,43,62.8,0,34,1,2,2,Informe del partido,317,90,14,18,77.8,7,14,50.0,1,1,100.0,0.0,0,4,0,0,43,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,1,0,0,3,1,4,11,33,9,2,53,100.0,0,0.0,88,33,1,1,3,3,41,5,0,3,3,0,0,0,0,6,11,2,84.6
2023-10-03,Mar,Champions Lg,Etapa de grupo,Visitante,V 2–0,es Real Sociedad,at RB Salzburg,Sí,CM,90,0,0,0,0,1,0,0,0,66,4,0,1,0.0,0.0,0.2,4,0,45,55,81.8,4,45,0,3,3,Informe del partido,690,256,27,29,93.1,13,16,81.3,4,6,66.7,0.0,1,5,0,0,54,0,0,0,1,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,3,3,100.0,0,0,4,3,0,5,19,33,15,0,66,100.0,0,0.0,186,62,2,0,1,2,47,4,0,0,1,0,0,0,0,8,6,9,40.0
2023-10-08,Dom,La Liga,Semana 9 de partido,Visitante,D 1–2,Real Sociedad,Atlético Madrid,Sí,LM,64,0,0,0,0,0,0,0,0,50,5,0,3,0.0,0.0,0.0,2,0,28,36,77.8,3,35,2,0,0,Informe del partido,413,103,21,23,91.3,5,9,55.6,2,2,100.0,0.0,0,7,0,0,36,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,1,1,100.0,0,0,5,0,0,0,4,34,16,0,50,,0,,169,64,3,0,5,1,35,4,0,1,0,0,0,0,0,5,3,0,100.0
