Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-14,Lun,La Liga,Semana 1 de partido,Local,V 3–1,Atlético Madrid,Granada,Sí,FW,57,1,0,0,0,3,2,1,0,13,1,0,0,1.0,1.0,0.0,0,0,6,6,100.0,1,11,0,0,0,Informe del partido,85,12,4,4,100.0,2,2,100.0,0,0,,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,1,1,0,1,1,5,7,4,13,,0,,54,6,0,0,1,1,11,3,0,3,1,1,0,0,0,1,1,1,50.0
2023-08-20,Dom,La Liga,Semana 2 de partido,Visitante,E 0–0,Atlético Madrid,Betis,No,"FW,CM",27,0,0,0,0,1,0,0,0,16,0,0,0,0.2,0.2,0.0,0,0,7,9,77.8,1,11,0,1,0,Informe del partido,100,22,5,6,83.3,2,2,100.0,0,1,0.0,0.0,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,4,10,3,16,0.0,1,100.0,22,5,0,1,3,1,11,1,0,0,0,1,0,0,0,2,1,0,100.0
2023-08-28,Lun,La Liga,Semana 3 de partido,Visitante,V 7–0,Atlético Madrid,Rayo Vallecano,No,FW,56,2,0,0,0,3,3,0,0,22,0,0,1,0.9,0.9,0.0,0,0,7,14,50.0,0,16,2,0,0,Informe del partido,87,22,5,5,100.0,2,7,28.6,0,0,,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,10,8,4,22,,0,,133,51,0,2,2,2,19,6,0,4,0,1,0,0,0,2,2,1,66.7
2023-09-08,Vie,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 7–1,es España,ge Georgia,Sí*,FW,71,3,0,0,0,5,3,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,,,0,,,,
2023-09-12,Mar,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 6–0,es España,cy Chipre,Sí*,FW,45,0,0,0,0,4,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,0,,,,
2023-09-16,Sáb,La Liga,Semana 5 de partido,Visitante,D 0–3,Atlético Madrid,Valencia,Sí,FW,90,0,0,0,0,2,1,0,0,21,1,0,1,0.2,0.2,0.0,0,0,13,15,86.7,0,11,0,0,0,Informe del partido,182,7,5,6,83.3,5,6,83.3,1,1,100.0,0.0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,1,0,0,0,3,5,13,6,21,,0,,32,6,0,0,1,0,14,4,0,2,0,0,0,0,0,0,2,1,66.7
2023-09-19,Mar,Champions Lg,Etapa de grupo,Visitante,E 1–1,es Atlético Madrid,it Lazio,Sí,FW,90,0,0,0,0,2,1,0,0,30,0,0,0,0.1,0.1,0.1,3,0,19,21,90.5,3,22,2,2,0,Informe del partido,198,25,15,16,93.8,3,4,75.0,0,0,,0.1,1,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,3,0,3,4,19,7,3,30,0.0,2,100.0,102,67,0,0,0,1,25,4,0,4,1,0,0,0,0,3,1,1,50.0
2023-09-24,Dom,La Liga,Semana 6 de partido,Local,V 3–1,Atlético Madrid,Real Madrid,Sí,FW,81,2,0,0,0,2,2,0,0,27,1,0,1,0.7,0.7,0.0,0,0,14,19,73.7,0,13,0,0,0,Informe del partido,229,12,11,13,84.6,1,1,100.0,2,4,50.0,0.0,0,1,0,0,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,0,5,14,8,3,27,,0,,39,15,0,0,1,0,19,0,0,0,1,0,0,0,0,0,0,0,
2023-09-28,Jue,La Liga,Semana 7 de partido,Visitante,V 2–0,Atlético Madrid,Osasuna,Sí,FW,84,0,0,0,0,1,0,2,1,31,0,0,1,0.0,0.0,0.0,1,0,14,23,60.9,1,22,1,0,0,Informe del partido,172,36,9,12,75.0,5,5,100.0,0,2,0.0,0.0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,7,16,8,2,31,,0,,96,23,1,0,3,0,28,2,1,1,3,3,0,0,0,1,3,4,42.9
2023-10-04,Mié,Champions Lg,Etapa de grupo,Local,V 3–2,es Atlético Madrid,nl Feyenoord,Sí,FW,89,2,0,0,0,2,2,1,0,26,0,0,2,0.5,0.5,0.0,0,0,9,16,56.3,0,13,1,3,2,Informe del partido,104,5,6,7,85.7,3,5,60.0,0,2,0.0,0.0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,2,0,3,4,9,13,3,26,66.7,1,33.3,32,20,0,1,0,2,13,2,0,2,1,0,0,0,0,3,1,2,33.3
2023-10-08,Dom,La Liga,Semana 9 de partido,Local,V 2–1,Atlético Madrid,Real Sociedad,Sí,FW,90,0,0,0,0,3,1,0,0,33,2,0,0,0.2,0.2,0.1,3,0,15,19,78.9,3,17,0,2,2,Informe del partido,251,60,8,9,88.9,4,6,66.7,2,3,66.7,0.0,1,0,1,0,19,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,,0,0,2,3,0,4,7,11,16,3,33,100.0,0,0.0,73,22,2,0,1,4,19,1,0,0,1,0,0,0,0,6,5,2,71.4
2023-10-12,Jue,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 2–0,es España,sct Escocia,Sí*,FW,84,1,0,0,0,4,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,3,,,0,,,,
2023-10-15,Dom,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 1–0,es España,no Noruega,Sí*,FW,88,0,0,0,0,2,1,1,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,2,,,0,,,,
2023-10-21,Sáb,La Liga,Semana 10 de partido,Visitante,V 3–0,Atlético Madrid,Celta Vigo,Sí,FW,90,0,0,0,0,2,0,0,0,23,0,0,0,0.1,0.1,0.0,2,2,11,14,78.6,2,13,2,2,0,Informe del partido,136,36,5,6,83.3,4,5,80.0,0,1,0.0,0.0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,4,0,4,4,11,8,3,23,0.0,1,50.0,99,69,2,1,2,1,17,2,0,2,2,2,1,0,0,3,0,0,
2023-10-25,Mié,Champions Lg,Etapa de grupo,Visitante,E 2–2,es Atlético Madrid,sct Celtic,Sí,FW,72,1,0,0,0,3,2,0,0,24,0,0,0,0.6,0.6,0.0,0,0,8,14,57.1,0,13,0,1,0,Informe del partido,89,0,7,8,87.5,1,3,33.3,0,1,0.0,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,4,7,13,6,24,0.0,1,100.0,46,9,0,1,0,1,15,3,0,1,1,1,0,0,0,3,4,3,57.1
2023-10-29,Dom,La Liga,Semana 11 de partido,Local,V 2–1,Atlético Madrid,Alavés,Sí,FW,66,1,1,0,0,3,2,0,0,21,0,0,1,0.4,0.4,0.2,2,2,9,13,69.2,1,16,1,2,1,Informe del partido,194,44,4,6,66.7,2,2,100.0,3,3,100.0,0.0,1,1,0,0,12,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,3,3,9,9,5,21,50.0,1,50.0,93,53,0,0,0,2,15,3,0,2,0,0,0,0,0,3,2,0,100.0
2023-11-03,Vie,La Liga,Semana 12 de partido,Visitante,D 1–2,Atlético Madrid,Las Palmas,Sí,FW,90,1,0,0,0,3,1,0,0,17,0,0,1,0.5,0.5,0.0,2,0,10,12,83.3,4,10,1,2,2,Informe del partido,231,44,4,6,66.7,1,1,100.0,3,3,100.0,0.0,0,2,0,0,10,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,1,11,5,2,17,100.0,0,0.0,76,23,1,1,0,2,11,3,0,1,0,1,0,0,0,3,0,2,0.0
2023-11-07,Mar,Champions Lg,Etapa de grupo,Local,V 6–0,es Atlético Madrid,sct Celtic,Sí,FW,90,2,1,0,0,3,2,0,0,28,1,0,0,0.8,0.8,0.0,1,0,19,20,95.0,0,14,1,1,0,Informe del partido,300,21,12,13,92.3,5,5,100.0,2,2,100.0,0.0,2,0,0,0,19,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,1,0,0,1,3,7,18,5,28,0.0,1,100.0,63,36,0,1,2,0,20,7,0,0,1,1,0,0,0,2,1,0,100.0
2023-11-12,Dom,La Liga,Semana 13 de partido,Local,V 3–1,Atlético Madrid,Villarreal,Sí,FW,87,0,0,0,0,6,1,0,0,21,0,0,1,0.9,0.9,0.1,4,1,8,11,72.7,0,14,0,2,1,Informe del partido,90,20,5,6,83.3,2,2,100.0,0,0,,0.1,1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,16,8,21,50.0,0,0.0,28,8,0,0,1,0,12,2,0,1,2,2,0,0,0,3,2,3,40.0
2023-11-19,Dom,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 3–1,es España,ge Georgia,Sí*,FW,90,0,0,0,0,3,2,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,,,0,,,,
2023-11-25,Sáb,La Liga,Semana 14 de partido,Local,V 1–0,Atlético Madrid,Mallorca,Sí,FW,81,0,0,0,0,5,1,0,0,29,0,0,1,0.8,0.8,0.1,2,0,13,18,72.2,0,16,0,1,0,Informe del partido,180,39,8,10,80.0,3,4,75.0,1,1,100.0,0.0,1,2,0,0,17,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,1,12,16,6,29,0.0,1,100.0,46,11,0,0,2,1,21,7,0,1,1,2,0,0,0,2,2,1,66.7
2023-11-28,Mar,Champions Lg,Etapa de grupo,Visitante,V 3–1,es Atlético Madrid,nl Feyenoord,Sí,FW,73,0,0,0,0,4,1,0,0,36,0,0,1,1.0,1.0,0.0,0,0,17,24,70.8,1,23,4,5,1,Informe del partido,223,62,10,13,76.9,4,6,66.7,1,1,100.0,0.0,0,1,0,0,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,14,15,6,36,20.0,3,60.0,150,79,2,3,2,1,31,6,0,2,2,0,0,0,0,2,0,4,0.0
2023-12-03,Dom,La Liga,Semana 15 de partido,Visitante,D 0–1,Atlético Madrid,Barcelona,Sí,FW,64,0,0,0,0,1,1,0,0,24,0,0,1,0.2,0.2,0.0,1,0,13,17,76.5,0,12,0,1,1,Informe del partido,200,41,6,7,85.7,7,9,77.8,0,0,,0.0,1,1,0,0,15,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,3,11,10,4,24,100.0,0,0.0,55,34,1,0,1,1,19,1,0,1,0,0,0,0,0,0,1,0,100.0
2023-12-10,Dom,La Liga,Semana 16 de partido,Local,V 2–1,Atlético Madrid,Almería,Sí,FW,59,1,0,0,0,2,1,0,0,15,1,0,0,0.5,0.5,0.0,5,2,7,11,63.6,0,10,4,3,3,Informe del partido,59,18,5,7,71.4,1,3,33.3,0,0,,0.0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,0,0,1,1,1,100.0,0,0,1,1,0,1,3,1,11,3,15,100.0,0,0.0,76,44,0,3,0,1,13,2,0,1,2,1,0,0,0,1,0,1,0.0
2023-12-13,Mié,Champions Lg,Etapa de grupo,Local,V 2–0,es Atlético Madrid,it Lazio,No,FW,28,0,0,0,0,1,0,0,0,5,0,0,0,0.3,0.3,0.0,1,0,3,4,75.0,0,3,0,0,0,Informe del partido,54,11,1,1,100.0,2,2,100.0,0,0,,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4,1,1,5,,0,,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,
2023-12-16,Sáb,La Liga,Semana 17 de partido,Visitante,D 0–2,Atlético Madrid,Athletic Club,Sí,FW,66,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,8,9,88.9,2,11,1,4,3,Informe del partido,97,44,6,7,85.7,2,2,100.0,0,0,,0.0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,1,0,0,1,4,8,4,1,14,75.0,1,25.0,69,43,1,0,4,1,7,0,0,0,1,3,0,0,0,5,0,1,0.0
2023-12-19,Mar,La Liga,Semana 18 de partido,Local,E 3–3,Atlético Madrid,Getafe,No,FW,34,1,0,0,0,1,1,0,0,15,0,0,1,0.4,0.4,0.0,0,0,6,9,66.7,0,8,0,1,0,Informe del partido,58,5,6,7,85.7,0,0,,0,1,0.0,0.0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,4,10,2,1,15,0.0,1,100.0,34,12,0,0,1,1,9,2,0,0,2,1,0,0,0,4,1,0,100.0
2023-12-23,Sáb,La Liga,Semana 4 de partido,Local,V 1–0,Atlético Madrid,Sevilla,Sí,FW,54,0,0,0,0,1,1,0,0,22,0,0,1,0.2,0.2,0.1,2,0,8,15,53.3,0,12,1,0,0,Informe del partido,111,1,5,7,71.4,2,4,50.0,1,2,50.0,0.1,1,0,0,0,14,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,2,0,2,3,4,15,6,22,,0,,67,29,1,1,1,2,18,8,0,1,1,0,0,0,0,1,2,0,100.0
2024-01-03,Mié,La Liga,Semana 19 de partido,Visitante,D 3–4,Atlético Madrid,Girona,Sí,FW,88,3,0,0,0,6,4,0,0,29,1,0,0,1.5,1.5,0.0,1,1,8,12,66.7,0,15,2,3,1,Informe del partido,85,8,5,7,71.4,2,4,50.0,0,0,,0.0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,100.0,0,0,1,2,0,2,4,11,14,7,29,33.3,2,66.7,64,48,1,1,1,0,20,4,0,2,3,1,0,0,0,0,3,1,75.0
