Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-12,Sáb,La Liga,Semana 1 de partido,Local,D 0–2,Athletic Club,Real Madrid,Sí,RW,45,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,11,14,78.6,0,18,1,5,2,Informe del partido,160,3,6,6,100.0,3,5,60.0,1,2,50.0,0.0,0,0,0,0,12,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,11,13,0,26,40.0,3,60.0,97,29,1,0,6,3,19,6,0,1,0,0,0,0,0,4,0,0,
2023-08-19,Sáb,La Liga,Semana 2 de partido,Visitante,V 2–0,Athletic Club,Osasuna,Sí,LW,64,0,2,0,0,1,0,0,0,37,3,0,1,0.1,0.1,0.7,3,3,20,26,76.9,2,20,4,4,2,Informe del partido,281,63,12,14,85.7,4,6,66.7,2,2,100.0,0.8,2,1,1,1,25,1,0,0,1,3,1,0,0,0,0,0,2,2,0,1,0,0,0,2,0,1,0,0,0,0,1,1,1,2,2,100.0,0,0,3,0,0,0,5,15,18,1,37,50.0,2,50.0,165,89,2,1,2,1,24,6,0,0,1,0,0,0,0,6,1,0,100.0
2023-08-27,Dom,La Liga,Semana 3 de partido,Local,V 4–2,Athletic Club,Betis,Sí,"LW,RW",74,0,0,0,0,2,0,0,0,34,0,0,2,0.0,0.0,0.1,5,3,18,24,75.0,0,27,5,7,3,Informe del partido,295,82,10,14,71.4,7,7,100.0,1,3,33.3,0.2,2,0,2,2,24,0,0,0,0,4,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,13,20,3,34,42.9,1,14.3,193,116,4,2,0,1,21,7,0,1,4,0,2,0,0,7,0,0,
2023-09-03,Dom,La Liga,Semana 4 de partido,Visitante,E 0–0,Athletic Club,Mallorca,Sí,LW,77,0,0,0,0,1,0,0,0,35,0,0,0,0.0,0.0,0.0,2,0,13,20,65.0,0,22,4,8,2,Informe del partido,225,23,7,8,87.5,5,8,62.5,1,4,25.0,0.1,1,0,0,0,19,1,0,0,1,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,7,28,5,35,25.0,6,75.0,183,100,3,1,5,2,26,9,0,0,1,2,0,0,0,3,0,2,0.0
2023-09-08,Vie,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Visitante,V 7–1,es España,ge Georgia,No,,47,1,1,0,0,3,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,0,,,0,,,,
2023-09-12,Mar,Clasificación para la Eurocopa de la UEFA,Etapa de grupo,Local,V 6–0,es España,cy Chipre,Sí,FW,45,0,2,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,
2023-09-30,Sáb,La Liga,Semana 8 de partido,Visitante,D 0–3,Athletic Club,Real Sociedad,Sí,LW,63,0,0,0,0,1,0,0,0,21,1,0,0,0.0,0.0,0.4,3,0,9,14,64.3,2,19,1,2,2,Informe del partido,150,71,6,7,85.7,1,3,33.3,2,2,100.0,0.4,1,1,1,1,14,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,100.0,0,0,1,0,0,0,0,8,13,5,21,100.0,0,0.0,113,40,1,1,1,1,15,4,0,0,1,0,0,0,0,6,0,0,
2023-10-06,Vie,La Liga,Semana 9 de partido,Local,V 3–0,Athletic Club,Almería,Sí,LW,90,0,0,0,0,3,1,0,0,57,3,0,3,0.1,0.1,0.4,12,2,27,39,69.2,4,39,8,11,5,Informe del partido,492,214,11,14,78.6,13,16,81.3,3,5,60.0,0.3,6,3,1,1,33,6,1,0,0,11,0,5,2,3,0,0,3,5,4,2,1,0,0,1,0,1,0,0,0,2,1,0,2,0,3,0.0,3,1,3,0,0,0,4,15,39,7,57,45.5,6,54.5,302,178,2,4,1,2,38,18,0,0,2,0,0,0,0,8,0,0,
2023-10-22,Dom,La Liga,Semana 10 de partido,Visitante,D 0–1,Athletic Club,Barcelona,Sí,LW,76,0,0,0,0,1,1,0,0,41,0,0,2,0.2,0.2,0.1,3,0,13,24,54.2,1,23,4,6,1,Informe del partido,236,105,3,4,75.0,8,10,80.0,1,6,16.7,0.1,2,1,2,1,16,7,2,1,0,9,1,4,3,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,1,5,10,26,5,41,16.7,5,83.3,163,93,4,2,4,1,23,9,0,1,1,0,0,0,0,3,0,0,
2023-10-29,Dom,La Liga,Semana 11 de partido,Local,E 2–2,Athletic Club,Valencia,Sí,LW,68,0,1,0,0,1,0,0,0,29,0,0,0,0.0,0.0,0.2,2,1,12,18,66.7,4,17,4,6,3,Informe del partido,220,63,4,4,100.0,8,12,66.7,0,0,,0.2,1,0,3,1,14,4,0,1,0,3,0,4,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,5,22,3,29,50.0,3,50.0,143,88,1,2,3,3,17,6,0,0,1,1,0,0,0,4,0,0,
