Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-13,Dom,La Liga,Semana 1 de partido,Local,D 0–2,Celta Vigo,Osasuna,Sí,RB,90,0,0,0,0,0,0,0,0,72,0,2,2,0.0,0.0,0.1,2,0,51,69,73.9,5,35,3,0,0,Informe del partido,851,443,23,26,88.5,25,34,73.5,3,8,37.5,0.1,1,4,1,0,52,17,2,1,0,3,15,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,1,0,0,21,36,15,0,72,,0,,192,121,1,0,0,0,47,4,0,0,1,0,0,0,0,3,0,1,0.0
2023-08-19,Sáb,La Liga,Semana 2 de partido,Visitante,E 1–1,Celta Vigo,Real Sociedad,Sí,"WB,RB",90,1,0,0,0,3,3,0,0,56,1,1,0,0.4,0.4,0.2,3,0,28,47,59.6,2,30,0,3,2,Informe del partido,511,211,13,17,76.5,10,15,66.7,4,9,44.4,0.3,2,1,3,2,32,12,2,0,1,3,10,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,25.0,3,0,2,2,0,3,19,23,14,2,56,66.7,0,0.0,159,69,1,0,0,2,32,3,0,0,3,0,0,0,0,7,0,0,
2023-08-25,Vie,La Liga,Semana 3 de partido,Local,D 0–1,Celta Vigo,Real Madrid,Sí,RB,90,0,0,0,0,3,0,0,0,60,2,0,2,0.4,0.4,0.1,5,0,34,50,68.0,3,40,1,1,1,Informe del partido,481,285,23,24,95.8,10,14,71.4,1,8,12.5,0.1,3,4,3,2,38,12,4,0,0,10,8,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,66.7,1,0,2,1,0,1,14,21,25,1,60,100.0,0,0.0,206,126,3,0,2,0,39,6,0,2,2,0,0,0,0,3,0,1,0.0
2023-09-01,Vie,La Liga,Semana 4 de partido,Visitante,V 3–2,Celta Vigo,Almería,Sí,RB,90,0,0,0,0,1,1,0,0,59,6,0,1,0.0,0.0,0.1,3,2,32,42,76.2,2,28,5,5,0,Informe del partido,564,183,17,18,94.4,10,14,71.4,4,5,80.0,0.1,1,0,2,1,28,13,1,0,0,5,12,0,0,0,0,1,2,2,0,0,0,1,0,1,0,0,0,1,0,3,4,2,0,6,7,85.7,1,0,6,3,0,2,11,18,30,2,59,0.0,4,80.0,207,107,3,1,0,0,28,5,0,0,1,0,0,0,0,1,1,1,50.0
2023-09-16,Sáb,La Liga,Semana 5 de partido,Local,D 0–1,Celta Vigo,Mallorca,Sí,"RM,RB",90,0,0,0,0,0,0,0,0,73,1,1,0,0.0,0.0,0.1,5,0,48,65,73.8,4,44,1,1,0,Informe del partido,715,326,23,31,74.2,20,22,90.9,2,6,33.3,0.1,2,7,0,0,55,10,0,0,0,5,10,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,100.0,0,0,2,1,0,0,15,31,27,0,73,0.0,0,0.0,140,101,1,0,1,0,44,6,0,0,1,0,0,0,0,5,1,0,100.0
2023-09-23,Sáb,La Liga,Semana 6 de partido,Visitante,D 2–3,Celta Vigo,Barcelona,Sí,RB,90,0,0,0,0,2,1,0,0,44,3,0,1,0.3,0.3,0.2,3,0,33,38,86.8,6,24,3,1,1,Informe del partido,513,361,20,20,100.0,9,10,90.0,3,5,60.0,0.2,3,7,2,1,33,5,1,0,0,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,5,40.0,3,0,3,0,0,0,17,15,12,3,44,100.0,0,0.0,132,93,2,1,1,1,27,5,0,0,1,0,0,0,0,9,0,0,
2023-09-28,Jue,La Liga,Semana 7 de partido,Local,E 1–1,Celta Vigo,Alavés,Sí,RB,90,0,0,0,0,2,0,0,0,57,1,0,2,0.3,0.3,0.0,2,0,27,44,61.4,1,29,1,5,2,Informe del partido,457,169,15,17,88.2,10,17,58.8,2,9,22.2,0.0,0,3,1,0,32,12,1,0,0,3,10,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4,25.0,3,1,1,5,0,5,17,29,12,1,57,40.0,2,40.0,128,62,0,0,0,0,31,1,0,0,3,0,0,0,0,6,1,1,50.0
2023-10-02,Lun,La Liga,Semana 8 de partido,Visitante,D 1–2,Celta Vigo,Las Palmas,Sí,RB,90,0,0,0,0,1,0,0,0,50,5,1,0,0.0,0.0,0.0,1,0,23,35,65.7,2,28,0,5,1,Informe del partido,439,325,10,13,76.9,10,14,71.4,2,5,40.0,0.0,0,3,1,0,26,8,2,0,0,3,6,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,1,4,6,66.7,2,0,6,0,0,3,19,18,15,1,50,20.0,3,60.0,109,54,1,0,2,1,24,3,0,0,2,0,0,0,0,10,0,1,0.0
2023-10-08,Dom,La Liga,Semana 9 de partido,Local,E 2–2,Celta Vigo,Getafe,Sí,RB,90,0,0,0,0,0,0,0,0,103,1,0,2,0.0,0.0,0.3,8,0,72,98,73.5,6,68,2,4,2,Informe del partido,1079,452,42,49,85.7,24,30,80.0,5,16,31.3,0.5,3,15,1,0,78,20,2,1,0,13,11,7,0,6,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0.0,2,0,1,2,0,2,13,47,44,0,103,50.0,1,25.0,303,159,2,0,0,0,75,7,0,0,2,0,0,0,0,5,0,1,0.0
2023-10-21,Sáb,La Liga,Semana 10 de partido,Local,D 0–3,Celta Vigo,Atlético Madrid,Sí,"RB,RM",90,0,0,0,0,2,0,1,0,77,1,0,2,0.2,0.2,0.1,5,0,46,67,68.7,9,37,5,4,2,Informe del partido,662,319,31,36,86.1,13,19,68.4,2,9,22.2,0.1,1,5,1,0,65,2,0,0,0,9,2,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,25.0,3,1,1,0,0,3,14,31,32,5,77,50.0,2,50.0,212,145,3,1,1,0,63,5,0,0,2,0,0,0,0,6,1,0,100.0
