Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won
2023-08-12,Sáb,La Liga,Semana 1 de partido,Visitante,V 2–0,Real Madrid,Athletic Club,Sí,FW,79,0,0,0,0,3,2,0,0,41,0,0,0,0.2,0.2,0.0,5,0,18,21,85.7,2,30,3,10,3,Informe del partido,220,48,9,10,90.0,4,6,66.7,1,1,100.0,0.1,0,1,1,0,20,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,3,19,19,7,41,30.0,6,60.0,205,90,3,3,6,0,31,11,0,2,2,2,0,0,0,3,0,0,
2023-08-19,Sáb,La Liga,Semana 2 de partido,Visitante,V 3–1,Real Madrid,Almería,Sí,FW,89,1,0,0,0,4,1,0,0,50,0,0,0,0.2,0.2,0.0,4,0,24,35,68.6,4,38,4,8,3,Informe del partido,379,62,12,14,85.7,4,8,50.0,3,4,75.0,0.2,0,2,1,0,34,0,0,0,2,3,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,7,41,9,50,37.5,4,50.0,323,173,9,4,2,2,48,8,0,2,5,0,0,0,0,0,0,0,
2023-08-25,Vie,La Liga,Semana 3 de partido,Visitante,V 1–0,Real Madrid,Celta Vigo,Sí,FW,17,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,2,2,2,Informe del partido,64,0,0,1,0.0,0,0,,2,2,100.0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,3,4,1,6,100.0,0,0.0,78,75,1,1,1,0,4,1,0,0,0,0,0,0,0,1,0,0,
2023-09-27,Mié,La Liga,Semana 7 de partido,Local,V 2–0,Real Madrid,Las Palmas,No,FW,34,0,0,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0.0,1,0,6,10,60.0,0,14,2,6,2,Informe del partido,90,0,4,5,80.0,0,1,0.0,1,1,100.0,0.0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5,12,5,17,33.3,4,66.7,97,25,0,1,1,1,11,3,0,0,0,0,0,0,0,1,0,0,
2023-09-30,Sáb,La Liga,Semana 8 de partido,Visitante,V 3–0,Real Madrid,Girona,Sí,FW,67,0,0,0,0,0,0,0,0,41,2,0,0,0.0,0.0,0.4,3,0,22,29,75.9,3,34,9,2,0,Informe del partido,373,81,11,14,78.6,9,10,90.0,2,3,66.7,0.1,2,2,0,0,28,1,0,0,1,3,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0.0,1,0,2,0,0,0,4,12,25,10,41,0.0,0,0.0,307,168,2,7,2,1,35,8,0,1,3,0,0,0,0,2,0,0,
2023-10-03,Mar,Champions Lg,Etapa de grupo,Visitante,V 3–2,es Real Madrid,it Napoli,Sí,FW,83,1,0,0,0,6,2,0,0,42,2,0,1,0.4,0.4,0.0,6,0,19,26,73.1,0,35,4,7,3,Informe del partido,262,7,10,12,83.3,8,9,88.9,0,1,0.0,0.0,0,0,0,0,25,1,0,0,0,1,0,1,0,0,0,0,3,0,1,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,2,0,0,0,3,14,25,9,42,42.9,4,57.1,234,118,3,3,2,1,37,10,0,2,3,0,0,0,0,0,0,1,0.0
2023-10-07,Sáb,La Liga,Semana 9 de partido,Local,V 4–0,Real Madrid,Osasuna,Sí,FW,71,1,1,0,0,3,1,0,0,42,1,0,0,1.0,1.0,0.1,2,2,21,27,77.8,4,31,3,5,1,Informe del partido,280,72,14,14,100.0,5,9,55.6,1,2,50.0,0.4,1,1,2,0,25,2,0,2,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0.0,1,0,1,0,0,0,1,11,30,7,42,20.0,4,80.0,182,111,3,3,5,1,35,9,0,0,0,0,0,0,0,1,0,0,
2023-10-12,Jue,WCQ,WCQ — CONMEBOL (M),Local,E 1–1,br Brasil,ve Venezuela,Sí,AM,78,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,0,,,,
2023-10-17,Mar,WCQ,WCQ — CONMEBOL (M),Visitante,D 0–2,br Brasil,uy Uruguay,Sí,AM,83,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Informe del partido,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,3,0,,,0,,,,
2023-10-21,Sáb,La Liga,Semana 10 de partido,Visitante,E 1–1,Real Madrid,Sevilla,Sí,FW,87,0,0,0,0,3,1,1,0,43,0,0,1,0.4,0.4,0.3,4,0,22,29,75.9,1,36,3,8,2,Informe del partido,302,63,14,15,93.3,6,10,60.0,1,2,50.0,0.1,1,1,1,0,27,2,1,1,0,3,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,0,2,8,33,5,43,25.0,5,62.5,257,135,4,2,2,2,36,11,0,1,3,0,0,0,0,1,0,1,0.0
