Fecha,Día,Competencia,Ronda,Sedes,Resultado,Equipo,Adversario,Arranque,Posición,Minutos,Goles,Asistencias,Tiros penales ejecutados,Tiros penales intentados,Total de disparos,Lanzamientos en el Objetivo,Tarjetas amarillas,Tarjetas rojas,Toques,Derribos,Intercepciones,Bloqueos,xG: Goles esperados,npxG: Goles esperados (xG) sin contar penaltis,xAG: Exp. Objetivos asistidos,Acciones para la creación de tiros,Acciones para la creación de goles,Pases completados,Pases intentados,% de pase completo,Pases progresivos,Transportes,Acarreos progresivos,Tomas intentadas,Tomas exitosas,Informe del partido,Distancia total de pase,Distancia de paso progresiva,Pases completados (Cortos),Pases intentados (Cortos),% de pase completo (Cortos),Pases completados (Medios),Pases intentados (Medios),% de pase completo (Medios),Pases completados (Largos),Pases intentados (Largos),% de pase completo (Largos),xA: Asistencias Esperadas,Pases clave,Pases en el último tercio de la cancha,Pases al área de penalización,Cruce en el área de penalización,Pases de Balón Vivo,Pases de Balón Muerto,Pases de tiros libres,Pases largos,Cambios,Pases cruzados,Lanzamientos Tomados,Saques de esquina,Saques de esquina hacia adentro,Saques de esquina hacia afuera,Saques de esquina rectos,Pases fuera de juego,Pases bloqueados,ACT (Pase de Balón Vivo),ACT (Pase de Balón Muerto),ACT (Toma),ACT (Tiro),ACT (Faltas recibidas),ACT (Acción Defensiva),ACG (Pase de Balón Vivo),ACG (Pase de Balón Muerto),ACG (Toma),ACG (Tiro),ACG (Faltas recibidas),ACG (Acción Defensiva),Derribos conseguidos,Derribos (3.º def.),Derribos (3.º cent.),Derribos (3.º ataq.),Regateadores tackleados,Regateos desafiados,% de Dribladores Derribados,Desafíos perdidos,Disparos bloqueados,Tkl+Int,Despeje,Errores,Toques (Def. pen.),Toques (3.º def.),Toques (3.º cent.),Toques (3.º ataq.),Toques (Ataq. pen.),Toques (Pelota activa),% de toma exitosa,Tiempos abordados durante la toma,Abordado durante el porcentaje de aceptación,Distancia total de traslados,Distancia de traslado progresivo,Traslados en el último tercio,Traslados al área de penal,Errores de control,Despojado,Pases recibidos,Pases progresivos Rec,Segunda tarjeta amarilla,Faltas cometidas,Faltas recibidas,Posición adelantada,Penales ejecutados,Penales concedidos,Goles en contra,Recuperación de pelotas,Aéreos Ganados,Aéreos Perdidos,% of Aerials Won,Player,Performance,Normalized_performance
2023-08-20,Dom,La Liga,Semana 2 de partido,Local,V 2–0,Barcelona,Cádiz,No,Delantero,6,1,0,0,0,1.0,1.0,0,0,7.0,0.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,1.0,5.0,20.0,0.0,4.0,2.0,0.0,0.0,Informe del partido,12.0,0.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,7.0,,0.0,,44.0,41.0,2.0,1.0,0.0,0.0,5.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,Ferran Torres,3.4099999999999997,1.5520458786582312
2023-08-27,Dom,La Liga,Semana 3 de partido,Visitante,V 4–3,Barcelona,Villarreal,No,Delantero,28,1,0,0,0,2.0,1.0,0,0,26.0,2.0,0.0,0.0,0.2,0.2,0.4,5.0,1.0,21.0,22.0,95.5,6.0,15.0,1.0,1.0,1.0,Informe del partido,378.0,131.0,9.0,9.0,100.0,8.0,9.0,88.9,3.0,3.0,100.0,0.2,1.0,3.0,3.0,0.0,21.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,16.0,11.0,2.0,26.0,100.0,0.0,0.0,93.0,61.0,0.0,0.0,0.0,0.0,21.0,4.0,0,1.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,Ferran Torres,9.874999999999998,4.494561012243411
2023-09-03,Dom,La Liga,Semana 4 de partido,Visitante,V 2–1,Barcelona,Osasuna,No,Delantero,32,0,0,0,0,0.0,0.0,0,0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,1.0,10.0,0.0,0.0,0.0,Informe del partido,123.0,9.0,5.0,5.0,100.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,14.0,,0.0,,35.0,13.0,0.0,0.0,1.0,1.0,12.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,,Ferran Torres,2.197,0.9999544854581038
2023-09-16,Sáb,La Liga,Semana 5 de partido,Local,V 5–0,Barcelona,Betis,Sí,Delantero,63,1,0,0,0,3.0,1.0,0,0,36.0,0.0,0.0,1.0,0.2,0.2,0.4,1.0,0.0,16.0,25.0,64.0,3.0,12.0,1.0,1.0,1.0,Informe del partido,154.0,75.0,15.0,19.0,78.9,1.0,2.0,50.0,0.0,1.0,0.0,0.1,1.0,2.0,1.0,0.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,11.0,20.0,5.0,36.0,100.0,0.0,0.0,73.0,38.0,1.0,0.0,3.0,0.0,26.0,10.0,0,0.0,1.0,1.0,0.0,0.0,0,3.0,0.0,0.0,,Ferran Torres,6.859999999999999,3.1222975740749166
2023-09-19,Mar,Champions Lg,Etapa de grupo,Local,V 5–0,es Barcelona,be Antwerp,No,Delantero,23,0,0,0,0,1.0,0.0,0,0,12.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,7.0,9.0,77.8,2.0,9.0,0.0,2.0,1.0,Informe del partido,159.0,34.0,1.0,1.0,100.0,4.0,4.0,100.0,2.0,3.0,66.7,0.0,1.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,12.0,50.0,1.0,50.0,67.0,6.0,0.0,1.0,1.0,0.0,10.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,Ferran Torres,3.681500000000001,1.6756178599062403
2023-09-23,Sáb,La Liga,Semana 6 de partido,Local,V 3–2,Barcelona,Celta Vigo,Sí,Delantero,71,0,0,0,0,3.0,0.0,0,0,54.0,0.0,0.0,1.0,0.2,0.2,0.0,3.0,0.0,37.0,47.0,78.7,3.0,37.0,2.0,1.0,1.0,Informe del partido,514.0,61.0,25.0,29.0,86.2,8.0,13.0,61.5,2.0,2.0,100.0,0.0,2.0,5.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,22.0,30.0,2.0,54.0,100.0,0.0,0.0,212.0,74.0,3.0,2.0,2.0,0.0,45.0,11.0,0,0.0,1.0,0.0,0.0,0.0,0,3.0,0.0,0.0,,Ferran Torres,9.597,4.368030585772154
2023-09-26,Mar,La Liga,Semana 7 de partido,Visitante,E 2–2,Barcelona,Mallorca,Sí,Delantero,57,0,0,0,0,1.0,1.0,0,0,16.0,0.0,1.0,1.0,0.3,0.3,0.3,1.0,0.0,6.0,11.0,54.5,1.0,6.0,0.0,2.0,1.0,Informe del partido,52.0,28.0,2.0,5.0,40.0,1.0,2.0,50.0,0.0,0.0,,0.1,1.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,10.0,1.0,16.0,50.0,1.0,50.0,17.0,8.0,0.0,0.0,1.0,0.0,10.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0,4.0,1.0,1.0,50.0,Ferran Torres,4.395000000000001,2.0003641163351698
2023-09-29,Vie,La Liga,Semana 8 de partido,Local,V 1–0,Barcelona,Sevilla,No,Delantero,20,0,0,0,0,1.0,0.0,0,0,11.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,6.0,8.0,75.0,2.0,6.0,1.0,0.0,0.0,Informe del partido,114.0,37.0,3.0,4.0,75.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,7.0,2.0,11.0,,0.0,,41.0,24.0,0.0,1.0,0.0,0.0,9.0,2.0,0,1.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,Ferran Torres,3.34,1.5201856993309362
2023-10-04,Mié,Champions Lg,Etapa de grupo,Visitante,V 1–0,es Barcelona,pt Porto,No,Delantero,57,1,0,0,0,3.0,2.0,0,0,20.0,1.0,0.0,0.0,0.6,0.6,0.1,1.0,0.0,9.0,14.0,64.3,2.0,13.0,3.0,0.0,0.0,Informe del partido,134.0,13.0,4.0,7.0,57.1,4.0,5.0,80.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,2.0,8.0,10.0,4.0,20.0,,0.0,,59.0,40.0,2.0,2.0,1.0,0.0,17.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,Ferran Torres,7.043,3.2055891857448455
2023-10-08,Dom,La Liga,Semana 9 de partido,Visitante,E 2–2,Barcelona,Granada,Sí,Delantero,90,0,0,0,0,4.0,1.0,0,0,49.0,0.0,0.0,0.0,0.5,0.5,0.3,7.0,0.0,37.0,41.0,90.2,4.0,20.0,1.0,1.0,0.0,Informe del partido,495.0,90.0,22.0,23.0,95.7,11.0,11.0,100.0,2.0,2.0,100.0,0.1,4.0,3.0,1.0,0.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,5.0,49.0,0.0,1.0,100.0,82.0,36.0,0.0,1.0,3.0,2.0,45.0,8.0,0,0.0,0.0,2.0,0.0,0.0,0,1.0,0.0,1.0,0.0,Ferran Torres,9.392000000000003,4.274725774885077
