player;text;date;lang
Ferran Torres;between jana, pina and bruna also being so young and mapi being smaller than half the 16 year olds, Torre and Paños look like professors that took their class on a hike;2023-08-01T21:01:13.000Z;en
Ferran Torres;So… you’ve met Freminet’s friend Pers ;2023-08-04T16:53:31.000Z;en
Ferran Torres;"ANDREW FARRELL SENDS THE 
@NEREVOLUTION
 INTO THE ROUND OF 16 

#NERevs down Atlas 8-7 in PKs. #LeaguesCup2023";2023-08-04T02:37:21.000Z;en
Ferran Torres;MAINSTREAM vs QUEEN OF ALT vs MEL-LOCAL  oh felonie r@petinez;2023-08-01T02:31:46.000Z;en
Ferran Torres;" Chin's Ig Post - Francine's favorite place !!  #BeloBaby

#FrancineDiaz";2023-08-04T04:09:47.000Z;en
Ferran Torres;" | Iván Fresneda is still an option. The club have already reached an agreement in principle with him. [
@MatteMoretto
]";2023-08-04T15:23:56.000Z;en
Ferran Torres;Pedri X Fermin Lopez. Future of football;2023-08-01T17:22:12.000Z;en
Ferran Torres;"On the way 
@InterMiamiCF
  @OrlandoCitySC
. 
@LeaguesCup
 | #VamosOrlando ";2023-08-01T21:45:49.000Z;en
Ferran Torres;"I promise to continue to support everything that you do in life and to always be there when controversies arise or when anti-fans try to bring you down. You deserve to have all these blessings coming all the way. Please stay strong and healthy as well. We love you 

#FranSeth";2023-08-05T14:13:06.000Z;en
Ferran Torres;Trossard is a beast, a nightmare for defenders. He’s got the strength of a giant in a small package. I’m pumped to see him light up the pitch this season, one of our smartest buys in years.;2023-08-04T19:03:33.000Z;en
Ferran Torres;| Fermín López on IG: “Incredible experience, working hard and preparing for what’s coming. Thanks for the support ;2023-08-02T14:37:36.000Z;en
Ferran Torres;The St.Tropez Gulf (France) by Roger Bolzonello (Italian artist );2023-08-05T14:08:43.000Z;en
Ferran Torres;Are you ready for the Ferran redemption season ?;2023-08-01T09:56:00.000Z;en
Ferran Torres;"‘Fernando 
@Torres
, Liverpool’s number 9!’ 

What a song. ";2023-08-04T07:09:33.000Z;en
Ferran Torres;"14’ Goaaaaaaaaal Vinicius Tobias!!

RC Ferrol 1-1 Castilla.";2023-08-05T17:17:49.000Z;en
Ferran Torres;"Many football fans like to think long term, which is good. Therefore most will argue for Fresneda. 18 years old, cheap - with a high ceiling. It sounds too good.

Still, the long term goals won’t be achieved unless the short term goals are.";2023-08-04T20:15:08.000Z;en
Ferran Torres;"attenzione 

13/5/5 for Frederico tonight";2023-08-04T21:25:40.000Z;en
Ferran Torres;NOOOOO!!! TRAVIS!! TRAVIS DONT GO IN THERE!!! TRAVIS!!!;2023-08-01T00:30:40.000Z;en
Ferran Torres;"-'Fernando, my wife hasn't spoken to me for three days...
—¡Take care of her! ¡Women like that don't exist anymore!'.

   𝐺𝑒𝑟𝑏𝑒𝑟𝑎 𝑗𝑎𝑚𝑒𝑠𝑜𝑛𝑖𝑖 Bolus ex Hook.f. ➤ 𝙰𝚂𝚃𝙴𝚁𝙰𝙲𝙴𝙰𝙴.";2023-08-05T11:33:20.000Z;en
Ferran Torres;"Pablo Torre: ""Personally, I'm going to try to play as many minutes as possible and I want to help Girona achieve everything we want. We have to take it one game at a time, without thinking about big things and, if the results go our way, we'll think about other things.""";2023-08-03T15:13:47.000Z;en
Ferran Torres;"duelo de valencianistas en mi soloq

Kang in lee 19 vs Ferran torres 11";2023-08-06T19:22:33.000Z;es
Ferran Torres;| Ferran Torres no instagram;2023-08-06T11:05:11.000Z;es
Ferran Torres; Ferran Torres;2023-08-06T23:25:50.000Z;es
Ferran Torres;Se irá Ansu y seguiremos con el putisimo cojo de Ferrán Torres. Paso, de verdad. Que asco;2023-08-06T20:44:32.000Z;es
